singular,plural,gender,total_frequency
sujet,sujets,Masc,35
ordre,ordres,Masc,35
adulte,adultes,Masc,35
rouleau,rouleaux,Masc,35
superbe,superbes,Masc,34
lourde,lourdes,Fem,34
blond,blonds,Masc,34
caprice,caprices,Masc,33
concert,concerts,Masc,33
sourcil,sourcils,Masc,33
bagarre,bagarres,Masc,33
bretelle,bretelles,Masc,33
capitaine,capitaines,Masc,32
pointe,pointes,Fem,32
finie,finies,Fem,32
coton,cotons,Fem,31
batterie,batteries,Fem,30
mouette,mouettes,Fem,30
corbeau,corbeaux,Masc,30
rat,rats,Masc,30
sotte,sots,Fem,29
ambulance,ambulances,Fem,29
crise,crises,Fem,29
volet,volets,Masc,27
bourdon,bourdons,Masc,26
centre,centres,Masc,26
grain,grains,Masc,26
vitesse,vitesses,Fem,26
message,messages,Masc,26
tronc,troncs,Masc,25
magazine,magazines,Fem,25
chiffon,chiffons,Masc,25
nombre,nombres,Masc,24
minuscule,minuscules,Masc,24
rayure,rayures,Fem,24
avocat,avocats,Masc,23
sanglier,sangliers,Masc,23
passager,passagers,Masc,23
trottoir,trottoirs,Masc,23
vase,vases,Fem,23
bascule,bascules,Fem,23
attaque,attaques,Fem,23
mesure,mesures,Fem,22
tube,tubes,Masc,22
position,positions,Fem,22
section,sections,Fem,22
soin,soins,Masc,21
muscle,muscles,Masc,21
liste,listes,Fem,21
limace,limaces,Fem,20
club,clubs,Masc,20
vilaine,vilaines,Fem,20
loisir,loisirs,Masc,19
hauteur,hauteurs,Masc,19
saison,saisons,Fem,18
appartement,appartements,Masc,18
maladie,maladies,Fem,18
recherche,recherches,Fem,18
exercice,exercices,Fem,18
retour,retours,Masc,18
somme,sommes,Fem,18
panneau,panneaux,Masc,18
