singular,plural,gender,total_frequency
violette,violettes,Fem,7
balade,balades,Fem,7
boulet,boulets,Masc,7
fourchette,fourchettes,Fem,7
spot,spots,Masc,7
embouteillage,embouteillages,Masc,7
caprice,caprices,Masc,6
scorpion,scorpions,Fem,6
astuce,astuces,Fem,6
bagage,bagages,Masc,6
farce,farces,Fem,6
blond,blonds,Masc,6
bosse,bosses,Fem,6
capsule,capsules,Fem,5
nourrice,nourrices,Fem,5
bricolage,bricolages,Masc,5
crocodile,crocodiles,Masc,5
bronche,bronches,Fem,5
tomate,tomates,Fem,5
orteil,orteils,Masc,5
menteur,menteuses,Fem,5
sauteur,sauteurs,Fem,4
soulier,souliers,Masc,4
pigeon,pigeons,Masc,4
bouchon,bouchons,Masc,4
paquet,paquets,Fem,4
plaquette,plaquettes,Fem,4
tiroir,tiroirs,Masc,4
puce,puces,Fem,4
