word,count
hallo,2979
ja,86692
hm,42925
da,66085
hast,16246
ihn,2132
so,49294
jetzt,33008
ist,85110
jemand,693
rausgegangen,41
und,60312
wie,12914
heisst,534
du,81134
sag,3352
ich,63490
bin,3159
der,60179
child,2
was,60888
das,120458
hier,32717
ein,50246
grosses,129
schwein,560
noch,35985
sollen,3060
wir,33506
buch,1853
mal,69079
umdrehen,310
möchtest,1874
gucken,4918
nein,11732
soll,8594
zur,1369
seite,1219
stellen,564
dahin,816
gut,12469
kann,13328
warten,536
vom,1866
guck,18900
ma,563
vorne,1274
ob,3344
auch,34674
okay,3636
oh,16498
denn,25262
mäuschen,491
komm,9367
den,24093
mund,1381
schon,13422
wieder,14037
voll,820
hab,6205
alles,5715
hingestellt,56
dis,1310
darfst,966
de,5740
nicht,43917
gehört,1891
dem,12730
hassan,1
schnöbbelchen,92
stehst,78
an,8336
tür,1279
markus,144
sie,12588
steht,1984
nich,4041
rein,5780
hu,315
mh,1669
tu,880
dein,2937
zeh,37
weg,3920
meine,1981
schnöbbelmaus,1
hoppala,80
aufessen,110
hase,753
spielt,435
mit,20491
steckspiel,5
von,6081
herrn,64
heür,3
schau,2043
alle,5015
drauf,5050
solln,90
die,84497
raus,3237
danke,2027
gewaltige,2
manipulation,1
papierkorb,34
pünktchen,37
für,9256
mich,3177
hui,422
n,1841
eins,2497
ähä,109
raubtier,7
ho,408
tut,1170
richtig,3674
weh,839
machst,3937
au,922
deinem,1062
grossen,237
zahn,53
weisste,78
jetz,2448
machen,13344
ne,13460
frische,104
windel,331
hasen,364
zurecht,23
ab,2190
musst,6069
jawohl,374
na,9832
probiere,53
es,24613
prima,1513
herunter,27
ach,12821
man,11635
heruntermachen,1
zwei,4640
huch,1407
muss,9274
wollen,4384
blauen,256
heruntertun,1
ha,1563
oi,473
toll,2674
turm,501
gibst,542
mama,6541
darf,2463
haben,9722
bitte,4308
upps,413
uff,104
wo,15415
er,7885
guckuck,3
ahahajajaaa,1
aaajajaaaaaja,1
spielen,2714
inzwischen,70
fast,543
jahr,346
alt,565
heut,66
fünfundzwanzigste,6
september,32
kreischt,8
ganz,13108
gewaltig,6
in,17345
gegend,244
rum,1212
unwirsch,1
weil,3400
mutter,495
kommt,7285
