form,deprel,count
hallo,root,1968
.,punct,540636
ja,root,30795
hm,root,31705
da,advmod,60454
hast,root,6004
ihn,obj,2242
so,root,13023
jetzt,advmod,34548
ist,aux:pass,4985
jemand,nsubj:pass,34
rausgegangen,root,41
und,cc,64422
wie,advmod,7955
heisst,root,508
du,nsubj,79861
sag,root,3154
ich,nsubj,65712
bin,ccomp,23
der,det,43197
child,obj,1
was,root,16680
ist,cop,78339
das,nsubj,66840
hier,advmod,31368
ein,det,51731
grosses,amod,120
schwein,root,215
da,root,9812
noch,advmod,39198
schwein,nsubj,220
sollen,aux,2968
wir,nsubj,35388
das,det,25103
buch,obj,925
mal,advmod,73936
umdrehen,root,273
?,punct,239056
möchtest,aux,1248
gucken,root,4389
nein,root,7381
soll,aux,7708
schwein,obj,72
zur,case,1456
seite,obl,335
stellen,root,480
dahin,root,140
gut,root,6562
kann,aux,12369
warten,root,499
ja,advmod,60622
vom,case,2027
schwein,nmod,32
guck,root,18489
ma,nsubj,118
vorne,advmod,1025
ob,mark,3586
da,ccomp,470
auch,advmod,37994
okay,advmod,1678
oh,advmod,4275
denn,advmod,27227
mäuschen,root,178
komm,root,8595
den,det,19631
mund,obj,328
schon,advmod,14529
wieder,advmod,15161
voll,advmod,444
hab,aux,3876
alles,obj,2692
hingestellt,parataxis,3
dis,obj,347
darfst,root,215
de,nsubj,5429
nicht,advmod,45978
dis,nsubj,552
gehört,root,1765
dem,det,12763
hassan,obj,1
schnöbbelchen,root,20
schnöbbelchen,flat:name,11
schnöbbelchen,obj,22
stehst,root,65
an,case,4572
tür,obl,185
markus,nsubj,71
sie,flat:name,50
steht,root,1638
komm,conj,88
nich,advmod,4090
rein,compound:prt,4003
schnöbbelchen,obl,1
hu,root,204
mh,root,1289
hm,flat:name,842
mh,flat:name,171
tu,root,778
dein,det,3104
zeh,obj,10
weg,compound:prt,2306
komm,nsubj,601
meine,det,1533
schnöbbelmaus,root,1
hoppala,root,58
aufessen,root,91
hase,obj,28
aufessen,conj,7
schnöbbelchen,nsubj,26
spielt,root,358
mit,case,19024
steckspiel,obl,1
von,case,6541
herrn,nmod,18
heür,flat:name,1
schau,root,2048
alle,root,653
drauf,advmod,3291
alle,appos,698
solln,root,8
die,nsubj,22678
raus,advmod,711
danke,root,1793
gewaltige,amod,2
manipulation,root,1
papierkorb,nmod,3
pünktchen,flat:name,5
für,case,9991
mich,nmod,257
dis,root,151
hui,root,320
wie,case,3398
n,obl,78
eins,flat,265
ähä,root,93
hm,advmod,8653
du,flat:name,1854
raubtier,appos,1
ho,nsubj,71
tut,root,1016
richtig,advmod,2821
weh,compound:prt,736
was,obj,34771
machst,acl,104
au,nsubj,68
deinem,det,1124
grossen,amod,199
zahn,obl,9
weisste,conj,5
jetz,advmod,2452
machen,ccomp,1007
machen,root,11884
ne,det,1133
frische,amod,102
windel,obj,233
hasen,nmod,37
zurecht,compound:prt,19
drauf,root,636
ab,root,202
machst,root,3720
nein,cc,1234
musst,root,586
oh,root,7774
jawohl,root,238
na,root,1257
probiere,root,53
es,obj,9028
prima,root,1072
herunter,root,2
ach,advmod,10227
man,nsubj,12528
eins,obj,744
heruntermachen,root,1
zwei,root,691
huch,root,946
