word,count
herkunft,263
des,33507
eszett,7
bewusstsein,155
als,27587
rätsel,24
dementsprechend,105
ist,23865
die,121446
verwendung,668
ätzlösung,1
in,71024
der,134548
glasindustrie,2
eine,24195
anwendung,382
von,47521
flusssäure,17
es,13938
wird,11722
mit,32356
steinen,43
gebaut,229
und,97196
allerlei,16
gaben,123
bestückt,9
erst,2096
vereinzelt,85
haben,3200
sich,21922
bisher,550
erwachsenenkardiologen,1
intensiv,111
auf,22910
dem,23680
gebiet,635
angeborenen,15
herzfehler,2
fortgebildet,1
professionelles,4
go,73
so,6243
finden,965
ihnen,765
hunderte,50
chinesischen,190
lehnwörtern,24
oft,1689
bezeichnungen,163
chinesischer,19
kulturgüter,7
gt,93
koreanisch,6
čhäk,1
bai,7
verfassungszusatz,7
islam,178
staatsreligion,24
blieb,737
diesem,1866
urteil,155
unberührt,9
diese,6518
unterscheidung,190
insofern,117
wichtig,221
im,34227
heiligen,240
römischen,543
reich,958
geistliche,51
würdenträger,11
wie,9290
erzbischöfe,11
bischöfe,48
auch,19059
landesherren,28
sein,4264
konnten,877
sie,10920
wesentlichen,311
sehr,2593
eben,88
höhenunterschieden,2
weniger,945
einem,8499
kilometer,406
aber,5701
gibt,2864
berge,46
bis,10230
zu,27492
neun,285
kilometern,127
höhe,480
nicht,12531
vulkanischen,22
ursprungs,60
sind,12423
vermutlich,356
durch,13392
tektonische,16
prozesse,163
entstehen,427
manager,19
teams,52
dürfen,199
zum,9833
ein,19616
dünner,13
film,1113
aus,14433
teilkristallinem,1
indigo,113
halbleiter,16
einer,12518
bandlücke,9
ev,20
damit,3056
potenzielles,2
material,240
für,21965
organische,73
elektronik,50
städte,512
wuchsen,28
dadurch,854
schnell,393
bildeten,185
große,1590
ballungsräume,6
seine,4841
filme,514
fallen,182
unterschiedlichsten,27
genres,98
wenn,2489
überhaupt,253
angemessen,31
knospen,19
blätter,137
triebe,16
seit,4796
den,38480
späten,269
jahren,3300
wurden,7005
ersten,2951
bischöfinnen,3
apostolischer,5
nachfolge,79
geweiht,36
industriellen,86
revolution,372
verstärkt,212
mensch,364
natürlichen,258
treibhauseffekt,21
ausstoß,5
treibhausgasen,17
messtechnisch,2
belegt,238
werden,13617
konnte,2039
exakte,42
amtsbezeichnung,13
niedergermanischen,3
statthalters,3
lautete,53
jetzt,204
legatus,4
augusti,9
pro,875
praetore,2
germaniae,6
inferioris,2
vorher,190
exercitus,1
germanici,3
greenpeace,124
herausgebenden,3
guide,12
to,135
greener,3
electronics,11
apple,252
allerdings,1815
zweiten,1362
platz,561
hinter,335
firma,169
fairphone,3
mehrzahl,57
herzinfarkte,10
entsteht,402
rahmen,725
koronaren,3
herzkrankheit,12
khk,6
dies,2428
liegt,1588
daran,273
dass,9394
wasserdampfkapazität,1
luft,381
sinkenden,16
temperatur,317
sinkt,66
sodass,371
beim,2040
erreichen,431
taupunktes,2
dampf,60
gesättigt,11
wassertröpfchen,4
bildet,575
wäldern,35
wachsen,94
epiphyten,3
orchideen,9
während,3187
schlangenwurze,1
manniophyton,1
knoblauchbaum,1
belluci,1
bedeutung,1398
traditionelle,128
heilpflanzen,9
kohlenbansens,1
beton,83
parallel,219
heute,2706
gepflasterten,2
bereich,898
das,34081
hegelianische,1
establishment,2
bekannt,1492
oder,12345
rechtshegelianer,2
sah,436
preußischen,164
staat,512
fortschrittlichen,11
modernen,484
sinne,550
abschlusses,1
serie,215
dialektischen,8
entwicklungen,108
funktionierendes,9
rechtssystem,5
effiziente,13
bürokratie,21
gute,220
universitäten,211
industrialisierung,77
hoher,218
beschäftigungsgrad,2
unter,6859
rekkeswinth,2
herrschte,75
wieder,2469
weitgehend,527
frieden,205
letzten,925
märchenfilme,1
hohem,111
budget,35
viel,573
aufwand,77
produziert,211
grenzen,298
ortsbezirke,10
folgen,437
seitherigen,3
gemarkungsgrenzen,2
viele,2051
mehrheitlich,69
offenen,168
standards,69
rfcs,4
definiert,393
dann,2252
augsburg,59
größte,780
stadt,3481
ohne,1752
mahatma,3
gandhi,17
damals,802
london,294
studierte,129
bestieg,22
weltausstellung,44
eiffelturm,154
nach,15129
anderen,2967
quellen,346
wurde,17411
er,15849
wegen,1339
befehlsverweigerung,3
offizier,47
erschossen,32
sonnennächster,1
punkt,257
perihel,5
bei,14320
ae,77
sonnenfernster,1
aphel,5
drift,2
arbeitsnormale,4
anschluss,195
nationalen,292
kilogrammprototypen,6
dienten,127
ebenfalls,1596
kopien,38
internationalen,626
kilogrammprototyps,4
erstmals,1113
offiziell,281
verwendet,1668
dieser,4945
zusatz,62
präambel,7
abschieds,2
reichstages,20
köln,551
küstenbereichen,4
herrscht,95
subpolares,1
klima,176
norden,491
inland,35
hingegen,558
polares,1
england,424
nahmen,183
lübecker,12
wolle,85
flandern,52
verkauft,172
juta,1
gastiert,1
häufig,1130
theater,236
klänge,13
systematik,95
minerale,70
dana,16
ordnet,25
diamant,75
klasse,206
gleichnamige,33
abteilung,113
elemente,601
dialekte,130
benachbarter,17
orte,101
zumeist,238
nur,7058
geringfügig,32
unterscheiden,458
deren,1978
sprecher,90
problemlos,35
gegenseitig,63
verstehen,181
verständigung,27
schwieriger,43
je,1128
weiter,1055
voneinander,206
entfernt,258
medaille,6
war,11310
seinem,2176
gedenken,30
porträt,41
bodo,11
mansteins,1
profil,24
abgebildet,78
mediziner,27
umweltschützer,9
stunde,95
zeitpunkt,387
verleihung,61
bereits,2614
verstorben,26
wahlbereich,2
bremen,450
gewählten,105
abgeordneten,100
bilden,720
gleichzeitig,589
kommunale,29
stadtbürgerschaft,5
salvatore,6
entstanden,769
hauptgruppe,35
praktisches,6
beispiel,1818
mietvertrag,4
monatlich,34
zahlender,1
mietzins,1
vereinbart,47
produkt,138
mietfläche,1
quadratmeterpreis,2
berechnet,118
euro,717
umzurechnen,4
runden,28
sondern,2069
monatliche,7
zahlungsbetrag,1
ermöglichte,142
hat,4371
bonn,419
landeshauptstadt,62
düsseldorf,492
dritthöchsten,6
pendlerüberschuss,1
thomas,283
mann,383
ihn,1679
unübertrefflich,1
charakterisiert,51
jüngers,65
werk,766
mir,119
fremd,26
andererseits,377
beurteilten,5
andere,1899
kritiker,127
denis,24
scheck,1
jünger,231
positiver,36
vorkommen,248
natur,469
i,426
platon,81
habe,993
gelehrt,42
man,4015
müsse,161
wahrnehmbaren,4
einzeldingen,3
getrennte,44
sinnlich,9
wahrnehmbare,9
unveränderliche,5
ewige,27
urbilder,4
geburtstages,9
wissenschaftsjahr,2
jahr,4078
chemie,291
begangen,41
darüber,741
hinaus,671
besitzt,531
vielfältige,66
theaterszene,4
zahlreichen,419
etablierten,61
theatern,13
freier,96
privater,48
trägerschaft,20
kann,4633
jederzeit,42
versuchen,132
zwei,3394
drei,2290
bases,16
einmal,383
laufen,96
darf,237
höchstens,77
runner,40
jeder,599
base,101
befinden,471
gebrauch,207
substantivs,6
esoterik,68
französisch,163
ésotérisme,1
beginnt,277
buch,516
jacques,73
matter,5
über,8358
antike,421
gnosis,14
frauen,602
lag,587
quote,16
männern,117
lesen,150
schreiben,249
länderrat,2
amerikanischen,379
zone,105
gehörte,425
hansestadt,99
an,14681
solange,94
bestand,499
am,10091
november,1031
gab,1686
europäische,318
zentralbank,80
mitteilung,28
präsidenten,230
draghi,5
ab,4135
neue,1536
banknotenserie,4
genannte,199
eingeführt,410
werde,289
liebig,79
wollte,452
naturwissenschaftliches,4
gerät,103
verbessern,89
einen,7672
wert,600
million,155
kommen,719
grünen,403
linksliberalen,8
democraten,1
erkennungsfarbe,2
grün,90
hinzu,361
regenbogenkoalition,1
rede,239
bandkeramik,39
folgte,392
