word1,word2,count
tu,viens,926
viens,voir,433
tu,as,10141
as,vu,1914
tu,vas,4445
vas,déjà,4
déjà,montrer,2
montrer,tes,17
tes,performances,1
performances,en,1
le,problème,76
problème,est,40
est,que,593
que,tu,9538
vas,vouloir,7
vouloir,aller,4
aller,accrocher,1
à,la,2456
la,caméra,404
vu,ça,141
qui,est,2518
est,là,1898
hein,tu,270
tu,te,1829
te,vois,166
vois,là,145
là,dans,135
ce,coup,11
coup,là,14
là,est,1356
est,arrêté,30
arrêté,là,5
tu,connais,335
connais,ça,36
ça,déjà,23
as,déjà,316
déjà,vu,127
pas,vu,222
vu,des,91
des,grands,74
grands,pieds,16
pieds,comme,7
comme,ça,5833
ça,mais,73
tiens,tiens,117
tiens,on,134
on,va,6894
va,occuper,8
occuper,à,1
à,autre,74
autre,chose,370
est,ta,154
ta,boîte,20
boîte,ça,2
tu,es,3826
es,intrigué,1
intrigué,toi,1
toi,hein,167
faut,habituer,1
habituer,un,1
un,petit,3280
petit,peu,1296
mh,eh,1
eh,oui,290
oui,y,220
y,en,2327
en,a,2596
a,deux,311
pour,moi,360
tu,en,1448
en,donnes,95
donnes,un,79
ah,les,97
les,boîtes,24
donnes,une,48
une,autre,535
oui,tu,816
tu,me,1940
me,le,341
le,donnes,153
non,tu,775
tu,veux,10578
veux,pas,1324
oh,non,436
non,non,4407
tu,montres,169
tu,lui,863
lui,montres,28
montres,hein,3
alors,est,988
est,ce,22484
ce,tu,1235
as,fait,1147
tu,fais,3603
pour,une,67
une,fois,303
fois,que,97
tu,peux,1900
peux,jouer,51
jouer,tranquille,1
sans,amélie,1
montre,bien,2
bien,à,56
caméra,tous,1
tous,tes,41
tes,jouets,37
il,y,4992
y,a,9335
a,des,1352
des,petits,533
petits,trous,44
on,peut,1207
peut,mettre,85
mettre,de,142
de,eau,767
eau,dedans,27
est,pour,1788
ça,tu,620
pour,maman,98
tu,le,1822
le,veux,93
veux,faire,802
veux,me,80
le,faire,614
faire,manger,32
ah,mais,459
mais,je,746
je,mange,55
mange,pas,171
pas,moi,212
moi,ça,144
en,mange,27
pas,et,30
et,toi,534
toi,sur,37
sur,ta,119
ta,tête,121
tête,viens,3
hop,petit,2
petit,chapeau,22
ah,oui,3010
oui,est,1506
est,bien,1984
bien,aussi,33
aussi,comme,29
es,tout,66
tout,beau,17
beau,comme,23
hop,là,221
là,elle,246
elle,est,4586
est,tombée,137
as,rattrapée,2
le,bateau,210
où,tu,518
vas,avec,15
avec,ça,368
ce,que,11219
que,y,243
a,autre,71
tic,tic,28
que,est,3609
est,ça,2283
tourne,toi,28
veux,aller,339
aller,où,68
ah,non,1166
ça,faut,36
faut,pas,973
pas,que,490
tu,touches,101
touches,hein,1
tu,sais,3213
sais,est,91
est,est,566
est,le,3292
le,poupon,5
poupon,d,2
d,amélie,8
a,dans,274
dans,le,2589
le,coffre,50
y,est,1266
est,écrit,85
super,chien,1
chien,n,1
n,est,354
est,plus,532
plus,tout,6
tout,seul,640
oh,tu,464
tu,tousses,58
tu,lis,48
est,un,4149
un,bateau,123
tu,vois,2885
vois,regardes,2
bateau,là,11
regardes,regardes,2
tu,appuies,102
appuie,appuie,23
vas,y,3380
y,fort,4
fort,fort,57
oh,est,825
est,dur,326
dur,hein,82
appuie,regarde,1
regarde,avec,24
avec,ta,137
ta,main,242
main,comme,27
est,trop,648
trop,dur,33
et,sur,31
sur,son,114
son,nez,70
nez,oui,14
oui,aussi,19
aussi,oui,52
oh,un,105
un,bonhomme,127
bonhomme,de,64
de,neige,79
petite,fille,378
fille,petite,1
qui,on,26
on,voit,492
voit,là,68
le,hibou,31
ouh,puis,2
puis,un,27
petit,lapin,99
comme,ton,29
ton,lulu,6
hein,y,29
des,lapins,60
lapins,comme,2
hop,caché,2
caché,caché,3
et,celui,155
celui,là,2231
a,sur,157
sur,celui,37
on,fait,1621
fait,une,383
une,tour,94
est,pas,6396
pas,bien,493
bien,facile,2
