word,count
tu,74304
viens,4615
voir,3230
as,13855
vu,3010
vas,8157
déjà,1677
montrer,648
tes,2006
performances,1
en,14580
hein,16114
le,41346
problème,248
est,96039
que,28041
vouloir,43
aller,2948
accrocher,105
regarde,11536
à,19086
la,33478
caméra,473
ça,42085
qui,15014
là,29597
te,8684
vois,4588
dans,10772
ce,35166
coup,622
arrêté,76
connais,776
pas,34034
des,12278
grands,249
pieds,782
comme,9517
mais,13213
tiens,5521
on,26192
va,15542
occuper,59
autre,4162
chose,1741
ta,3024
boîte,519
es,4906
intrigué,9
toi,8082
faut,6370
habituer,4
un,27569
petit,7293
peu,4354
mh,1493
eh,2271
oui,25972
y,19082
a,25184
deux,3760
pour,8846
moi,8532
donnes,936
merci,1918
ah,22331
les,20807
boîtes,47
hop,3250
une,12692
me,4344
non,23570
veux,12384
oh,13454
montres,493
bruit,665
lui,5824
alors,10232
fait,13488
fais,6988
fois,1291
peux,2854
jouer,1719
tranquille,91
sans,392
amélie,42
montre,1539
bien,9463
tous,1439
jouets,308
il,42670
petits,1610
trous,146
peut,4040
mettre,4419
de,25211
eau,2080
dedans,1798
coucou,928
maman,6163
ouais,8797
faire,8583
manger,2336
je,23863
mange,1178
et,26128
sur,7674
tête,1452
chapeau,398
aussi,4246
tout,7577
beau,1029
elle,15609
tombée,218
rattrapée,3
bateau,668
où,8903
avec,8074
ouh,2504
dis,4243
tic,123
tourne,834
attends,5426
touches,158
sais,5969
poupon,10
d,2687
camion,364
coffre,84
coloriages,10
écrit,405
super,734
chien,820
n,1888
plus,6271
seul,757
tousses,60
lis,134
regardes,345
appuies,144
appuie,320
fort,864
dur,500
main,1147
trop,2284
son,2333
nez,996
bonhomme,1039
neige,261
petite,2304
fille,689
voit,863
oiseau,331
hibou,92
puis,2781
lapin,792
ton,4576
lulu,36
lapins,180
caché,330
celui,2970
tour,550
facile,373
mets,3509
dessus,1266
allez,6172
bravo,1283
défait,68
rigolo,183
défaire,63
énerve,38
assieds,236
toc,266
voilà,8222
tim,644
applaudis,6
re,31
commences,79
si,6886
arrives,432
elles,1483
se,5835
sauvent,7
très,3493
difficile,383
dit,3789
persévérance,2
marche,986
grandes,180
tours,48
maintenant,2623
bon,6893
bleu,893
jaune,853
quand,4744
même,3157
arrivé,152
duplos,34
sauteurs,1
suffit,270
forcer,15
juste,910
avais,1185
plaque,28
nénuphar,7
grenouille,228
savoir,210
vais,3491
chercher,1622
portes,84
choses,701
encore,5105
tournes,209
toujours,641
dos,381
asseyais,3
aime,799
asseoir,356
debout,506
téléphone,379
racontes,427
quoi,10271
ranger,471
crochet,29
trou,334
ici,2373
composé,4
numéros,9
avant,731
téléphones,29
jeux,117
sa,1695
soeur,221
pendant,358
profite,14
crie,105
défend,6
marqué,122
