form,deprel,count
tu,nsubj,80365
viens,ROOT,4006
?,punct,121050
voir,xcomp,2559
as,aux:tense,10052
vu,ROOT,2449
vas,ROOT,6623
déjà,advmod,1767
montrer,xcomp,638
tes,det,2197
performances,obj,1
en,obl:mod,6
.,punct,206993
hein,ROOT,7038
le,det,34656
problème,nsubj,45
c',expl:subj,20268
est,ROOT,10937
que,mark,14303
vas,ccomp,269
vouloir,xcomp,43
aller,xcomp,2695
t',expl:comp,1632
accrocher,xcomp,81
regarde,ROOT,10339
!,punct,55504
à,case,15846
la,det,28805
caméra,ROOT,95
.,ROOT,39997
ça,obj,6734
qui,dep,1970
c',expl:comp,61
là,ROOT,3684
?,ROOT,19967
hein,mark,321
te,expl:comp,2324
vois,ROOT,3541
là,obl:arg,10552
dans,obl:arg,21
te,obj,2052
ce,det,3310
coup,obl:mod,267
là,nsubj,548
c',iobj,1439
est,aux:tense,3263
arrêté,ROOT,62
connais,ROOT,580
pas,advmod,36428
des,det,11642
grands,amod,128
pieds,obj,328
comme,case,9061
ça,obl:mod,3627
mais,cc,14142
.,conj,467
tiens,det,32
tiens,case,9
tiens,ROOT,3962
on,nsubj,28536
va,acl:relcl,1142
s',expl:comp,3952
occuper,xcomp,49
autre,amod,2618
chose,obl:arg,106
c',nsubj,27656
est,cop,58055
ta,det,3257
boîte,ROOT,112
ça,nmod,1348
tu,nsubj:pass,350
es,aux:pass,403
intrigué,ROOT,9
toi,dep,2387
hein,advmod,9215
faut,ROOT,5493
habituer,xcomp,4
un,nsubj,511
petit,amod,6898
peu,fixed,3325
mh,det,34
eh,dep,1460
oui,fixed,7168
y,expl:subj,401
en,dep,4342
a,ROOT,11210
deux,obj,546
pour,case,4926
moi,ROOT,1778
m',iobj,1503
en,iobj,2673
donnes,ROOT,803
un,obj,1318
merci,ROOT,1778
ah,ROOT,10253
les,det,18792
boîtes,dep,5
hop,ROOT,2248
une,advcl,32
autre,advmod,53
oui,mark,3509
me,iobj,3335
le,obj,9634
non,advmod,10742
veux,ROOT,9634
oh,ROOT,4573
non,fixed,6130
montres,ROOT,419
bruit,ROOT,50
lui,iobj,3765
alors,advmod,9278
qu',ROOT,16630
est,dep,23990
ce,dep,22194
fait,acl:relcl,3142
fais,dep,1804
mh,ROOT,1223
une,det,12808
fois,obl:mod,859
peux,ROOT,2199
jouer,xcomp,1635
tranquille,advmod,13
sans,case,272
amélie,ROOT,12
montre,ROOT,1326
bien,advmod,7007
caméra,obl:arg,111
tous,amod,1108
jouets,obj,165
il,expl:subj,18513
y,expl:comp,12668
petits,amod,1589
trous,obj,76
peut,ROOT,2172
mettre,xcomp,4351
de,det,4432
l',fixed,1971
eau,obj,786
dedans,obl:arg,726
coucou,ROOT,851
ça,ROOT,7377
donnes,acl:relcl,69
maman,ROOT,1595
ouais,ROOT,5810
veux,acl:relcl,2236
faire,xcomp,7340
me,dep,35
faire,dep,873
manger,xcomp,2083
je,nsubj,25938
mange,conj,51
moi,advmod,24
j',nsubj,6857
mange,ROOT,774
et,cc,28411
toi,nsubj,309
sur,case,8413
tête,obl:mod,124
viens,conj,59
chapeau,ROOT,152
ah,dep,8911
bien,ROOT,2677
aussi,advmod,4387
ça,dep,4596
es,cop,3186
tout,advmod,3768
beau,ROOT,543
hop,advmod,215
là,fixed,1940
elle,nsubj,16084
tombée,ROOT,179
l',obj,5643
rattrapée,ROOT,2
bateau,ROOT,254
où,iobj,1175
avec,case,8485
ça,obl:arg,975
ouh,ROOT,1206
dis,ROOT,2780
que,dep,2986
a,acl:relcl,2669
d',nsubj,90
autre,obj,586
autre,fixed,313
oui,ROOT,12425
tic,ROOT,68
tic,nmod,78
où,dep,6498
tourne,ROOT,706
attends,ROOT,4153
où,obl:arg,1051
ça,nsubj,20162
touches,ccomp,12
sais,ROOT,4619
c',punct,565
est,fixed,2465
poupon,obj,2
d,case,1709
',det,527
amélie,nmod,15
alors,ROOT,1204
camion,ROOT,153
!,ROOT,7305
que,obj,7750
dans,case,11951
coffre,nmod,3
coloriages,ROOT,4
que,nsubj:pass,1
y,iobj,3079
est,aux:pass,2655
écrit,dep,39
super,amod,135
chien,nsubj,134
n,advmod,1892
',advmod,2010
plus,advmod,4840
seul,ROOT,138
oh,dep,8602
tousses,ROOT,49
lis,ROOT,88
un,det,24273
regardes,xcomp,7
là,dep,3103
regardes,ROOT,230
appuies,ROOT,89
appuie,ROOT,228
appuie,nmod,11
y,dep,3061
fort,advmod,625
dur,ROOT,443
appuie,nsubj,5
main,obl:mod,278
trop,advmod,2197
son,det,2478
nez,dep,47
bonhomme,ROOT,303
de,case,17249
neige,nmod,106
petite,amod,2216
fille,ROOT,323
fille,nmod,62
voit,ROOT,509
là,obj,1007
l',det,11078
oiseau,ROOT,162
hibou,ROOT,39
puis,cc,2825
lapin,conj,17
lapin,ROOT,289
ton,det,4928
lulu,ROOT,10
hein,dep,379
lapins,obj,63
lulu,nmod,5
caché,ROOT,280
celui,case,1136
celui,obl:arg,86
fait,ROOT,7315
tour,obj,350
celui,ROOT,740
facile,acl:relcl,7
qu',advmod,325
une,nsubj,42
mets,ROOT,2870
dessus,obj,128
oh,det,1284
allez,xcomp,216
bravo,dep,197
bravo,ROOT,1071
bravo,nmod,56
il,nsubj,26748
défait,ROOT,58
rigolo,ROOT,154
de,mark,4925
défaire,dep,2
les,obj,4084
énerve,ROOT,28
mh,dep,258
assieds,ROOT,190
plus,obj,721
toc,ROOT,121
hein,nsubj,36
voilà,ROOT,7713
regarde,xcomp,950
y,fixed,640
tim,nmod,104
applaudis,ROOT,4
applaudis,ccomp,1
re,expl:comp,1
commences,ROOT,59
pour,mark,4694
voir,advcl,128
si,mark,5576
arrives,ccomp,44
voir,ROOT,720
allez,ROOT,3487
elles,nsubj,1514
se,expl:comp,5071
sauvent,ROOT,5
très,advmod,3953
difficile,ROOT,301
ce,ROOT,3164
dit,acl:relcl,835
peu,ROOT,361
persévérance,obl:arg,1
et,ROOT,305
marche,conj,40
grandes,amod,152
tours,obj,33
maintenant,advmod,2583
bon,ROOT,3511
bleu,obj,157
jaune,nsubj,17
quand,advmod,1353
même,fixed,1428
es,aux:tense,1041
arrivé,ROOT,79
jaune,ROOT,377
bleu,ROOT,433
duplos,ROOT,9
sauteurs,amod,1
hop,dep,417
allez,advmod,2307
suffit,ROOT,238
forcer,dep,4
tim,obj,164
juste,advmod,868
avais,ROOT,301
plaque,obj,20
où,ROOT,219
qu',dep,2030
est,acl:relcl,1515
fille,obj,109
nénuphar,ROOT,5
grenouille,ROOT,99
grenouille,nsubj,38
savoir,xcomp,169
vais,ROOT,2740
la,obj,3321
chercher,xcomp,1731
dedans,nmod,60
eh,ROOT,518
portes,ROOT,30
choses,obj,442
encore,advmod,4634
tournes,ROOT,158
toujours,advmod,668
dos,obj,43
asseyais,ROOT,3
aime,ROOT,611
asseoir,xcomp,376
debout,advmod,182
ah,det,1052
téléphone,ROOT,102
',case,795
ouh,flat:name,1
téléphone,ccomp,11
dis,dep,329
racontes,ROOT,238
quoi,xcomp,150
là,advmod,5848
ah,mark,1597
ranger,xcomp,485
crochet,obj,12
trou,ROOT,77
ici,advmod,1039
là,nummod,523
ça,ccomp,144
est,det,1584
composé,ccomp,1
numéros,obj,6
avant,obl:arg,54
composé,acl:relcl,2
téléphones,ROOT,31
amélie,obl:arg,3
jouer,ROOT,79
avec,obl:arg,130
jeux,ROOT,25
sa,det,1791
soeur,nmod,19
pendant,mark,114
qu',mark,7258
profite,ROOT,12
crie,ROOT,71
lui,ROOT,507
se,obj,625
défend,dep,1
crie,conj,5
qui,nsubj,11820
a,aux:tense,8573
marqué,ROOT,82
quoi,ROOT,4386
hop,obl:arg,7
boum,dep,30
refermes,ROOT,9
comment,advmod,5433
ouvrir,advcl,30
ben,ROOT,805
alors,fixed,417
doucement,ROOT,731
quoi,dep,3103
que,iobj,588
te,iobj,4971
regarder,xcomp,782
viens,nsubj,17
fais,ROOT,3768
coucou,obj,111
coucou,dep,33
ben,advmod,5223
non,ROOT,7752
faut,conj,329
par,mark,69
contre,fixed,182
attraper,xcomp,236
le,dep,1246
tomber,xcomp,592
accroche,ROOT,76
lit,obl:arg,353
accroché,xcomp,6
ben,fixed,3047
défais,ROOT,27
turbulette,obj,1
mais,fixed,56
hein,fixed,275
était,cop,2660
bête,ROOT,98
idée,obl:mod,4
venir,xcomp,405
lulu,obj,11
du,case,2787
bout,obl:arg,48
excellent,ROOT,8
doudou,ROOT,204
attention,ROOT,1874
attention,nmod,209
plein,obj,678
choses,obl:arg,189
facile,ROOT,272
marcher,dep,11
tout,amod,1724
hop,fixed,325
relève,ROOT,11
oh,fixed,66
câlin,ROOT,73
câlin,nmod,5
tient,ROOT,228
seul,advmod,231
c',advmod,516
pas,fixed,342
accrocher,dep,1
lulu,obl:arg,5
tenir,advcl,19
debout,obj,14
attends,nsubj,477
attends,xcomp,489
cheval,nmod,87
cheval,obl:arg,49
appelle,ROOT,1514
cheval,ROOT,253
écartes,ROOT,5
écarte,ROOT,14
jambes,obj,87
vas,xcomp,557
pied,ROOT,188
parti,ROOT,333
mm,ROOT,751
ouais,fixed,513
tu,iobj,75
si,obj,20
du,det,4355
cheval,obj,171
parterre,ROOT,75
dis,acl:relcl,539
continue,ROOT,230
descend,ROOT,130
rien,ROOT,212
sait,ROOT,416
dire,xcomp,1615
oui,obj,301
oui,conj,236
pareil,ROOT,185
secoue,ROOT,14
tête,obj,562
pareil,advmod,58
remarque,ROOT,29
en,case,6324
grèce,obl:mod,2
ils,nsubj,8207
secouent,ccomp,1
descendre,xcomp,191
ou,cc,3727
pas,conj,462
rapprocher,xcomp,16
petit,ROOT,495
ouh,dep,1064
crois,ROOT,2033
tiens,ccomp,27
là,case,1486
caches,ROOT,92
caches,advcl,8
oui,advmod,2450
kake,ROOT,2
voilà,advmod,558
mother,dep,8
kake,flat:name,1
aurais,aux:tense,123
pensé,ROOT,32
ce,nsubj,5131
serait,cop,246
premier,ccomp,1
toi,nmod,462
à,fixed,1198
heure,fixed,882
disait,ROOT,71
kake,obj,1
la,fixed,3404
la,ROOT,606
doucement,advmod,919
ma,det,1538
bouche,dep,24
lunettes,ROOT,53
tout,obj,952
casser,xcomp,307
ohlàlà,ROOT,604
accroches,ROOT,19
tutu,ROOT,14
chut,ROOT,344
chut,dep,107
eh,fixed,145
passer,xcomp,451
sert,advcl,12
rien,obl:arg,109
énerver,dep,4
au,case,4357
revoir,ROOT,267
voulais,ROOT,208
vérifier,xcomp,24
tenait,ccomp,2
excellent,amod,1
tambour,ROOT,16
four,ROOT,24
met,ROOT,1424
légumes,obj,71
panier,obj,47
là,obl:mod,1531
ah,nsubj,1394
merci,obj,161
quelques,det,150
uns,obj,19
as,acl:relcl,655
jamais,advmod,535
droit,obj,284
d,mark,448
',punct,1141
toucher,xcomp,186
vous,nsubj,1471
vous,expl:comp,71
bataillez,ROOT,1
qu',obj,7686
fenouil,ROOT,7
banane,ROOT,92
hop,vocative,3
panier,dep,3
sais,advcl,621
moi,dep,4318
d',ROOT,3155
accord,fixed,4537
merci,dep,91
poulet,ROOT,55
hop,obj,124
gâteau,dep,28
chocolat,nmod,183
qui,ROOT,1414
toi,ROOT,2293
mhm,dep,293
un,advmod,2273
parce,mark,5054
que,fixed,4215
accroches,advcl,2
temps,obj,206
moi,obl:arg,491
sert,ROOT,191
pratique,advcl,5
c',ROOT,737
vrai,fixed,142
remet,ROOT,132
tous,advmod,348
dedans,dep,224
tiens,advmod,530
met,advcl,214
gâteau,obj,280
banane,dep,12
mandarine,obj,13
va,ROOT,12226
assiette,obj,88
pique,obj,18
nique,amod,38
assiette,obl:arg,54
miam,ROOT,213
mhm,ROOT,1057
peu,obj,893
tout,ROOT,449
semblant,ROOT,2
as,ROOT,3426
couteau,obj,100
boum,ROOT,439
drôle,amod,57
façon,ROOT,13
jouer,acl,38
tiens,dep,337
toc,dep,20
mais,ROOT,156
me,obj,559
bon,fixed,1646
semblant,obj,98
range,ROOT,388
panier,nsubj,6
est,ccomp,633
écoute,ROOT,519
écoutes,ROOT,77
joues,ROOT,300
porte,obl:arg,81
tim,dep,87
vas,acl:relcl,590
doigts,dep,38
là,nmod,1694
porte,ROOT,171
revoir,dep,10
te,nsubj,20
reviens,ROOT,146
reviens,advcl,14
portes,dep,6
truc,ROOT,156
moment,obl:mod,265
peur,obj,782
jeu,ROOT,161
bon,det,140
tu,ROOT,218
joues,ccomp,26
cette,det,2048
c',nsubj:pass,535
portes,obj,35
se,iobj,243
coince,ROOT,33
doigts,obj,253
coince,advcl,2
après,obl:arg,254
ballon,obj,173
derrière,case,329
tim,nsubj:pass,2
tim,ROOT,221
sac,ROOT,136
me,expl:comp,810
disais,ROOT,67
train,ROOT,513
fouiller,acl,1
sac,obl:arg,133
coquin,ROOT,194
ben,dep,245
ballon,obl:arg,105
hier,advmod,524
pouvais,ROOT,19
avait,advcl,115
amélie,obj,5
prenait,ROOT,9
fatigué,ROOT,131
t',obj,1311
ai,aux:tense,4044
réveillé,ROOT,40
