word,count
son,9228
taliesin,12
est,25537
un,23394
breton,29
fils,568
elffin,1
le,54495
roi,871
de,117118
caer,1
dyvi,1
mais,5104
vendredi,17
la,69898
panique,35
saisit,16
nouveau,1078
bourse,39
elles,960
peuvent,770
une,21544
notamment,1262
en,36774
regard,95
du,28127
cartilage,5
les,39976
reconstructions,8
plus,10095
courantes,31
sont,8571
qui,13880
des,34423
formes,185
et,50051
se,9022
abord,419
comme,5649
purement,36
pictographique,2
signes,208
choses,112
valeurs,137
avant,1608
complexifier,2
progressivement,174
au,14465
fil,104
temps,1301
haut,355
cinq,679
premiers,518
niveaux,150
renferment,4
ils,2649
font,593
chacun,226
bonne,281
sein,461
locale,164
adaptation,133
the,1588
wall,78
sortie,257
salles,139
furent,366
fortes,77
sur,10637
doubles,10
mariages,32
servent,71
expansionnistes,3
duc,285
bourgogne,143
gueldre,8
manifestation,45
sarianidi,23
famille,726
sans,1837
davantage,146
si,1657
ce,6639
que,13893
correspond,123
fondation,120
empire,562
kouchan,8
tombes,52
appartiennent,61
nomade,40
mythe,93
stagger,7
lee,60
dans,18106
wrong,2
em,11
boyo,1
chanson,342
classique,226
stack,1
o,22
blues,18
mississippi,149
john,617
hurt,1
lewis,83
philip,52
pullman,137
milton,64
hauteur,220
varie,73
avec,8440
latitude,44
entre,3536
aux,4995
quelques,1101
variations,61
facteurs,69
saisonniers,5
travaux,469
commencent,115
cause,511
fondations,68
faire,1266
roche,81
dure,116
apparaissent,136
rapidement,478
il,15482
y,2475
eut,94
grande,1230
famine,22
boisseau,2
riz,17
atteignit,5
prix,466
mille,116
monnaie,85
sorte,233
routes,90
couvertes,18
sa,5899
fortune,91
ruina,1
pour,14285
venir,120
aide,322
leur,3625
fit,149
cachette,7
gens,158
ne,5162
savaient,5
pas,5410
lui,3151
venaient,10
ces,2842
dons,49
depuis,1905
automne,113
hiver,232
maladie,117
a,8653
eu,288
raison,666
semble,437
avoir,1315
vrai,107
grands,532
romans,215
jane,522
austen,442
situent,38
tous,1282
mariage,254
constitue,270
enjeu,22
notait,3
notions,30
ou,5732
ancrent,3
iranienne,80
conditions,254
changement,154
profond,70
lequel,401
islam,59
politique,935
nouvelle,957
place,1300
venue,58
monde,1262
elle,4369
accouche,6
mon,116
repos,44
petite,376
fille,310
princesse,156
sophie,34
juin,691
moyens,153
imaginaire,72
polowatais,3
intervenir,50
date,327
laquelle,576
entrent,47
pays,1567
prennent,143
outre,341
attire,78
mort,785
foudres,14
certains,952
conservateurs,61
britanniques,295
ainsi,2933
islamistes,8
zanzibars,1
ceux,744
toutefois,629
brachiopodes,12
ont,3422
longtemps,242
bivalves,162
ressemblance,31
animaux,406
vient,271
seulement,549
