minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2
"der feind zweifelt, die feinde zweifelt",childes,simple_agrmt,feind,feinde,zweifelt,zweifelt,-4.1526031494140625,-1.4381542205810547,-1.2928228378295898,-2.294526735941569,-0.6324555320336759,0.0,-1.451941002248928,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-1.4213570090014926,-0.7290742904002292,-0.7290742904002292,-1.3028439699549628,0.0,0.0,0.0,0.0
"die feinde zweifeln, der feind zweifeln",childes,simple_agrmt,feinde,feind,zweifeln,zweifeln,3.4087514877319336,2.511180877685547,2.5990304946899414,2.839654286702474,0.6324555320336759,0.0,-1.451941002248928,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-1.4213570090014926,-0.7290742904002292,-0.7290742904002292,-1.4160031964550912,0.0,0.0,0.0,0.0
"der feind konstruiert, die feinde konstruiert",childes,simple_agrmt,feind,feinde,konstruiert,konstruiert,-0.5938234329223633,-3.3606209754943848,-4.425362586975098,-2.7932689984639487,-0.6324555320336759,0.0,-1.3689510052573117,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-1.4213570090014926,-0.7290742904002292,-0.7290742904002292,-1.4160031964550912,0.0,0.0,0.0,0.0
"die feinde konstruieren, der feind konstruieren",childes,simple_agrmt,feinde,feind,konstruieren,konstruieren,1.3235845565795898,4.363632678985596,5.791001796722412,3.8260730107625327,0.6324555320336759,0.0,-1.3689510052573117,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-1.2588732528180944,-0.7290742904002292,-0.7290742904002292,-1.4160031964550912,0.0,0.0,0.0,0.0
"der feind fürchtet, die feinde fürchtet",childes,simple_agrmt,feind,feinde,fürchtet,fürchtet,1.333937644958496,2.9092602729797363,2.7644381523132324,2.3358786900838218,-0.6324555320336759,0.0,-0.6244152649047625,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.703337621104662,-0.7290742904002292,-0.7290742904002292,-0.6322843697295996,0.0,0.0,0.0,0.0
"die feinde fürchten, der feind fürchten",childes,simple_agrmt,feinde,feind,fürchten,fürchten,1.647810459136963,-2.450514316558838,-1.2685866355895996,-0.6904301643371582,0.6324555320336759,0.0,-0.6244152649047625,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.5191872775313329,-0.7290742904002292,-0.7290742904002292,-0.5980586008697485,0.0,0.0,0.0,0.0
"der feind schält, die feinde schält",childes,simple_agrmt,feind,feinde,schält,schält,-2.3136253356933594,-1.790287971496582,-2.1044139862060547,-2.0694424311319985,-0.6324555320336759,0.0,-0.702088637863005,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.9811054369613782,-0.7290742904002292,-0.7290742904002292,-1.030195771426515,0.0,0.0,0.0,0.0
"die feinde schälen, der feind schälen",childes,simple_agrmt,feinde,feind,schälen,schälen,5.330541610717773,3.8727760314941406,4.098406791687012,4.433908144632976,0.6324555320336759,0.0,-0.702088637863005,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.39349395078399907,-0.7290742904002292,-0.7290742904002292,-0.342151150232645,0.0,0.0,0.0,0.0
"der feind taucht, die feinde taucht",childes,simple_agrmt,feind,feinde,taucht,taucht,-1.240614891052246,-0.22980976104736328,-0.8038806915283203,-0.7581017812093099,-0.6324555320336759,0.0,-0.31876919120812996,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.2743750843304579,-0.7290742904002292,-0.7290742904002292,-0.18840458973608748,0.0,0.0,0.0,0.0
"die feinde tauchen, der feind tauchen",childes,simple_agrmt,feinde,feind,tauchen,tauchen,2.5272722244262695,2.9009504318237305,4.854331016540527,3.427517890930176,0.6324555320336759,0.0,-0.31876919120812996,-1.1432743848743998,-0.9555579657142268,-0.9555579657142268,0.0,-0.34973405436818655,-0.7290742904002292,-0.7290742904002292,-0.342151150232645,0.0,0.0,0.0,0.0
