minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2,delta_score_42,delta_score_13,delta_score_30,delta_avg
"the roommate awaits, the roommates awaits",childes,simple_agrmt,roommate,roommates,awaits,awaits,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.761993408203125,0.1854534149169922,-0.2292637825012207,0.23939434687296549
"the roommates await, the roommate await",childes,simple_agrmt,roommates,roommate,await,await,1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-1.311701774597168,-0.365694522857666,-0.6624135971069336,-0.7799366315205892
"the roommate complains, the roommates complains",childes,simple_agrmt,roommate,roommates,complains,complains,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-0.3803520202636719,-2.3329124450683594,-1.9001779556274414,-1.5378141403198242
"the roommates complain, the roommate complain",childes,simple_agrmt,roommates,roommate,complain,complain,1,0,3.8918202981106265,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.9459101490553132,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.7458839416503906,1.9649410247802734,1.914597511291504,1.541807492574056
"the roommate arrives, the roommates arrives",childes,simple_agrmt,roommate,roommates,arrives,arrives,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-0.3872261047363281,-1.5931353569030762,-2.4235787391662598,-1.4679800669352214
"the roommates arrive, the roommate arrive",childes,simple_agrmt,roommates,roommate,arrive,arrive,1,0,5.545177444479562,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,2.772588722239781,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,2.2276735305786133,2.751692771911621,3.6027841567993164,2.8607168197631836
"the roommate disappears, the roommates disappears",childes,simple_agrmt,roommate,roommates,disappears,disappears,-1,0,3.2188758248682006,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.6094379124341003,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.019608497619629,-0.4976835250854492,0.2335205078125,0.2518151601155599
"the roommates disappear, the roommate disappear",childes,simple_agrmt,roommates,roommate,disappear,disappear,1,0,7.221835825288449,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.6109179126442243,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,1.4176101684570312,0.9373016357421875,-0.45943641662597656,0.6318251291910807
"the roommate bows, the roommates bows",childes,simple_agrmt,roommate,roommates,bows,bows,-1,0,6.089044875446846,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.044522437723423,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,-0.42395925521850586,0.036837100982666016,3.2744035720825195,0.9624271392822266
"the roommates bow, the roommate bow",childes,simple_agrmt,roommates,roommate,bow,bow,1,0,10.805354763744559,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.402677381872279,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,-1.5345678329467773,-1.5254783630371094,-4.266961097717285,-2.442335764567057
