minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj2_root,bigram_nsubj1_root
"le visiteur poursuit, les visiteurs poursuit",childes,simple_agrmt,visiteur,visiteurs,poursuit,poursuit,-0.28771543502807617,-3.1700196266174316,-1.1479854583740234,-1.5352401733398438,-2,0,2.1972245773362196,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs poursuivent, le visiteur poursuivent",childes,simple_agrmt,visiteurs,visiteur,poursuivent,poursuivent,1.7934765815734863,5.513418674468994,3.1678152084350586,3.491570154825846,2,0,0.8109302162163288,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur grandit, les visiteurs grandit",childes,simple_agrmt,visiteur,visiteurs,grandit,grandit,3.9747323989868164,0.9004974365234375,0.36338043212890625,1.7462034225463867,-2,0,5.780743515792329,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs grandissent, le visiteur grandissent",childes,simple_agrmt,visiteurs,visiteur,grandissent,grandissent,4.111453056335449,3.5090160369873047,2.404682159423828,3.341717084248861,2,0,0.8109302162163288,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur apprend, les visiteurs apprend",childes,simple_agrmt,visiteur,visiteurs,apprend,apprend,3.4503965377807617,2.4016237258911133,0.9184303283691406,2.256816864013672,-2,0,8.1886891244442,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs apprennent, le visiteur apprennent",childes,simple_agrmt,visiteurs,visiteur,apprennent,apprennent,5.094012260437012,5.524500846862793,8.221975803375244,6.280162970225017,2,0,3.2188758248682006,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur descend, les visiteurs descend",childes,simple_agrmt,visiteur,visiteurs,descend,descend,1.0724382400512695,0.6025619506835938,-0.8355441093444824,0.27981869379679364,-2,0,10.352299465147658,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.176149732573829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs descendent, le visiteur descendent",childes,simple_agrmt,visiteurs,visiteur,descendent,descendent,3.3402795791625977,4.971347332000732,4.677410125732422,4.329679012298584,2,0,4.1588830833596715,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur attend, les visiteurs attend",childes,simple_agrmt,visiteur,visiteurs,attend,attend,0.6448097229003906,-0.5633792877197266,-0.841827392578125,-0.2534656524658203,-2,0,11.002516421089455,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.501258210544727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs attendent, le visiteur attendent",childes,simple_agrmt,visiteurs,visiteur,attendent,attendent,4.4383368492126465,4.305577278137207,4.064032077789307,4.269315401713054,2,0,5.1298987149230735,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
