minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2
"der fahrgast schaukelt, die fahrgäste schaukelt",wiki,simple_agrmt,fahrgast,fahrgäste,schaukelt,schaukelt,-1.220198154449463,-3.7519593238830566,-1.7725534439086914,-2.248236974080404,-0.7071067811865475,-1.1952286093343936,-1.594295131180744,-1.4421542697685,-1.6626201497857036,-0.8738198558014769,-0.8284028407209945,-1.504830240123244,-1.163098133456943,-0.9941470235451709,-1.1828708801319525,0.0,0.0,0.0,0.0
"die fahrgäste schaukeln, der fahrgast schaukeln",wiki,simple_agrmt,fahrgäste,fahrgast,schaukeln,schaukeln,4.634423732757568,6.251461982727051,6.0182600021362305,5.63471523920695,0.7071067811865475,1.1952286093343936,-1.594295131180744,-1.4421542697685,-0.8738198558014769,-1.6626201497857036,0.8284028407209945,-1.504830240123244,-0.9941470235451709,-1.163098133456943,-1.1828708801319525,0.0,0.0,0.0,0.0
"der fahrgast flüchtet, die fahrgäste flüchtet",wiki,simple_agrmt,fahrgast,fahrgäste,flüchtet,flüchtet,-2.5772385597229004,-1.5332460403442383,-1.771146297454834,-1.9605436325073242,-0.7071067811865475,-1.1952286093343936,-0.946401762942086,-1.4421542697685,-1.6626201497857036,-0.8738198558014769,-0.8284028407209945,-1.163662700803156,-1.163098133456943,-0.9941470235451709,-0.9915079275804617,0.0,0.0,0.0,0.0
"die fahrgäste flüchten, der fahrgast flüchten",wiki,simple_agrmt,fahrgäste,fahrgast,flüchten,flüchten,6.413447856903076,4.375011444091797,5.501780986785889,5.430080095926921,0.7071067811865475,1.1952286093343936,-0.946401762942086,-1.4421542697685,-0.8738198558014769,-1.6626201497857036,0.8284028407209945,-0.6229249445175058,-0.9941470235451709,-1.163098133456943,-0.9915079275804617,0.0,0.0,0.0,0.0
"der fahrgast riecht, die fahrgäste riecht",wiki,simple_agrmt,fahrgast,fahrgäste,riecht,riecht,-0.5762662887573242,3.9753026962280273,0.5255422592163086,1.3081928888956706,-0.7071067811865475,-1.1952286093343936,-0.9021037370105023,-1.4421542697685,-1.6626201497857036,-0.8738198558014769,-0.8284028407209945,-1.02206537844863,-1.163098133456943,-0.9941470235451709,-0.9915079275804617,0.0,0.0,0.0,0.0
"die fahrgäste riechen, der fahrgast riechen",wiki,simple_agrmt,fahrgäste,fahrgast,riechen,riechen,4.248485565185547,4.063935279846191,1.6829700469970703,3.331796964009603,0.7071067811865475,1.1952286093343936,-0.9021037370105023,-1.4421542697685,-0.8738198558014769,-1.6626201497857036,0.8284028407209945,-0.6808978391285421,-0.9941470235451709,-1.163098133456943,-0.9915079275804617,0.0,0.0,0.0,0.0
"der fahrgast wandert, die fahrgäste wandert",wiki,simple_agrmt,fahrgast,fahrgäste,wandert,wandert,-3.013248920440674,0.3146347999572754,-1.3300862312316895,-1.3429001172383626,-0.7071067811865475,-1.1952286093343936,-0.39474371973629335,-1.4421542697685,-1.6626201497857036,-0.8738198558014769,-0.8284028407209945,-0.6808978391285421,-1.163098133456943,-0.9941470235451709,-0.5285966238657006,0.0,0.0,0.0,0.0
"die fahrgäste wandern, der fahrgast wandern",wiki,simple_agrmt,fahrgäste,fahrgast,wandern,wandern,9.703972339630127,2.617554187774658,5.825311183929443,6.048945903778076,0.7071067811865475,1.1952286093343936,-0.39474371973629335,-1.4421542697685,-0.8738198558014769,-1.6626201497857036,0.8284028407209945,-0.06428700769209962,-0.9941470235451709,-1.163098133456943,0.1256776324005511,0.0,0.0,0.0,0.0
"der fahrgast feiert, die fahrgäste feiert",wiki,simple_agrmt,fahrgast,fahrgäste,feiert,feiert,-0.6504783630371094,-1.9353952407836914,1.1813583374023438,-0.46817175547281903,-0.7071067811865475,-1.1952286093343936,-0.3017473366268855,-1.4421542697685,-1.6626201497857036,-0.8738198558014769,-0.8284028407209945,-0.6808978391285421,-1.163098133456943,-0.9941470235451709,-0.2644808532796324,0.0,0.0,0.0,0.0
"die fahrgäste feiern, der fahrgast feiern",wiki,simple_agrmt,fahrgäste,fahrgast,feiern,feiern,1.979133129119873,4.436849117279053,3.3188977241516113,3.244959990183512,0.7071067811865475,1.1952286093343936,-0.3017473366268855,-1.4421542697685,-0.8738198558014769,-1.6626201497857036,0.8284028407209945,0.11126865548235944,-0.9941470235451709,-1.163098133456943,0.06265627485349347,0.0,0.0,0.0,0.0
