minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2,delta_score_42,delta_score_13,delta_score_30,delta_avg
"the picker grinds, the pickers grinds",wiki,simple_agrmt,picker,pickers,grinds,grinds,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,2.2720565795898438,-1.814291000366211,0.6629371643066406,0.3735675811767578
"the pickers grind, the picker grind",wiki,simple_agrmt,pickers,picker,grind,grind,1,0,2.1972245773362196,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-1.038337230682373,0.8211984634399414,-1.007948875427246,-0.40836254755655926
"the picker exaggerates, the pickers exaggerates",wiki,simple_agrmt,picker,pickers,exaggerates,exaggerates,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.838965892791748,3.438858985900879,3.669764518737793,2.982529799143473
"the pickers exaggerate, the picker exaggerate",wiki,simple_agrmt,pickers,picker,exaggerate,exaggerate,1,0,3.2188758248682006,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.99876070022583,2.1616897583007812,4.278111457824707,3.479520638783773
"the picker screams, the pickers screams",wiki,simple_agrmt,picker,pickers,screams,screams,-1,0,2.1972245773362196,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,4.574775695800781,-0.01364898681640625,4.189436912536621,2.9168545405069985
"the pickers scream, the picker scream",wiki,simple_agrmt,pickers,picker,scream,scream,1,0,4.605170185988092,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0501556396484375,-0.3871173858642578,-1.3654322624206543,-1.60090176264445
"the picker swims, the pickers swims",wiki,simple_agrmt,picker,pickers,swims,swims,-1,0,2.1972245773362196,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.481180191040039,4.254591941833496,5.146541118621826,4.29410441716512
"the pickers swim, the picker swim",wiki,simple_agrmt,pickers,picker,swim,swim,1,0,6.664409020350408,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.332204510175204,0.0,0.0,2.302585092994046,0.0,0.0,0.0,0.0,-0.6231794357299805,1.7880220413208008,-0.17034435272216797,0.3314994176228841
"the picker enjoys, the pickers enjoys",wiki,simple_agrmt,picker,pickers,enjoys,enjoys,-1,0,6.182084906716632,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.091042453358316,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.29468202590942383,-1.3406848907470703,-1.6742448806762695,-0.9067492485046387
"the pickers enjoy, the picker enjoy",wiki,simple_agrmt,pickers,picker,enjoy,enjoy,1,0,8.525359754082631,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,4.2626798770413155,0.0,0.0,3.1780538303479458,0.0,0.0,0.0,0.0,2.5894336700439453,4.02152156829834,5.146123886108398,3.9190263748168945
"the picker draws, the pickers draws",wiki,simple_agrmt,picker,pickers,draws,draws,-1,0,7.783640596221253,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.8918202981106265,0.0,0.0,3.1780538303479458,0.0,0.0,0.0,0.0,3.669980525970459,4.011017799377441,5.837486267089844,4.506161530812581
"the pickers draw, the picker draw",wiki,simple_agrmt,pickers,picker,draw,draw,1,0,10.187500401613525,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.093750200806762,0.0,0.0,2.995732273553991,0.0,0.0,0.0,0.0,0.1933460235595703,-0.5780467987060547,-0.12141990661621094,-0.16870689392089844
"the picker rests, the pickers rests",wiki,simple_agrmt,picker,pickers,rests,rests,-1,0,6.802394763324311,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.4011973816621555,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,5.2097930908203125,4.2481184005737305,4.664972305297852,4.707627932230632
"the pickers rest, the picker rest",wiki,simple_agrmt,pickers,picker,rest,rest,1,0,12.372417247800987,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,6.186208623900494,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.418243408203125,-1.5998611450195312,-0.2850179672241211,-0.4888785680135091
