minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj2_root,bigram_nsubj1_root
"le gamin casse, les gamins casse",wiki,simple_agrmt,gamin,gamins,casse,casse,-2.068963050842285,1.4867668151855469,1.6636333465576172,0.36047903696695965,-2,0,5.666426688112432,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins cassent, le gamin cassent",wiki,simple_agrmt,gamins,gamin,cassent,cassent,3.8754310607910156,4.52186393737793,4.646303176879883,4.347866058349609,2,0,2.772588722239781,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin rentre, les gamins rentre",wiki,simple_agrmt,gamin,gamins,rentre,rentre,-1.114217758178711,2.838789939880371,1.1296586990356445,0.9514102935791016,-2,0,7.522400231387125,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins rentrent, le gamin rentrent",wiki,simple_agrmt,gamins,gamin,rentrent,rentrent,4.9691972732543945,6.2696757316589355,8.484113693237305,6.574328899383545,2,0,5.8888779583328805,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin continue, les gamins continue",wiki,simple_agrmt,gamin,gamins,continue,continue,0.5812520980834961,0.06894874572753906,1.912705421447754,0.8543020884195963,-2,0,10.731952030043702,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.365976015021851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins continuent, le gamin continuent",wiki,simple_agrmt,gamins,gamin,continuent,continuent,3.8034772872924805,3.8839406967163086,4.056474685668945,3.914630889892578,2,0,8.661466680572662,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin suit, les gamins suit",wiki,simple_agrmt,gamin,gamins,suit,suit,0.7289714813232422,2.6871585845947266,4.960753440856934,2.792294502258301,-2,0,10.566407457475977,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.2832037287379885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins suivent, le gamin suivent",wiki,simple_agrmt,gamins,gamin,suivent,suivent,4.532416343688965,6.523014068603516,4.947992324829102,5.334474245707194,2,0,9.55824698622306,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin rend, les gamins rend",wiki,simple_agrmt,gamin,gamins,rend,rend,-1.6066665649414062,-0.7308425903320312,-1.6937294006347656,-1.3437461853027344,-2,0,11.304978360537302,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins rendent, le gamin rendent",wiki,simple_agrmt,gamins,gamin,rendent,rendent,4.248703956604004,5.672281265258789,5.568890571594238,5.163291931152344,2,0,9.128696382935672,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin va, les gamins va",wiki,simple_agrmt,gamin,gamins,va,va,3.2072815895080566,1.3562898635864258,4.427365303039551,2.9969789187113443,-2,0,11.922010679246547,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins vont, le gamin vont",wiki,simple_agrmt,gamins,gamin,vont,vont,5.530343055725098,5.074113845825195,5.612390518188477,5.40561580657959,2,0,10.329571947847029,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le gamin permet, les gamins permet",wiki,simple_agrmt,gamin,gamins,permet,permet,2.506197929382324,3.031062126159668,1.6321659088134766,2.3898086547851562,-2,0,13.38912411704219,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les gamins permettent, le gamin permettent",wiki,simple_agrmt,gamins,gamin,permettent,permettent,4.182258129119873,6.0926666259765625,6.875278949737549,5.716734568277995,2,0,11.074668534037073,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine casse, les vilaines casse",wiki,simple_agrmt,vilaine,vilaines,casse,casse,-1.5595169067382812,2.4307422637939453,-0.5544328689575195,0.10559749603271484,-2,0,5.666426688112432,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,2.833213344056216,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines cassent, la vilaine cassent",wiki,simple_agrmt,vilaines,vilaine,cassent,cassent,5.826055526733398,2.1293416023254395,2.493004322052002,3.4828004837036133,2,0,2.772588722239781,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine rentre, les vilaines rentre",wiki,simple_agrmt,vilaine,vilaines,rentre,rentre,1.6056432723999023,0.6730737686157227,1.8348979949951172,1.3712050120035808,-2,0,7.522400231387125,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,3.7612001156935624,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines rentrent, la vilaine rentrent",wiki,simple_agrmt,vilaines,vilaine,rentrent,rentrent,2.435821533203125,2.933910369873047,7.287395000457764,4.2190423011779785,2,0,5.8888779583328805,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,2.9444389791664403,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine continue, les vilaines continue",wiki,simple_agrmt,vilaine,vilaines,continue,continue,2.1998486518859863,3.6552724838256836,2.92733097076416,2.9274840354919434,-2,0,10.731952030043702,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.365976015021851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines continuent, la vilaine continuent",wiki,simple_agrmt,vilaines,vilaine,continuent,continuent,4.6400909423828125,4.439902305603027,5.662358283996582,4.914117177327474,2,0,8.661466680572662,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.330733340286331,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine suit, les vilaines suit",wiki,simple_agrmt,vilaine,vilaines,suit,suit,3.228560447692871,3.1777820587158203,3.80234432220459,3.4028956095377603,-2,0,10.566407457475977,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.2832037287379885,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines suivent, la vilaine suivent",wiki,simple_agrmt,vilaines,vilaine,suivent,suivent,5.83466911315918,5.149477958679199,7.387386322021484,6.123844464619954,2,0,9.55824698622306,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.77912349311153,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine rend, les vilaines rend",wiki,simple_agrmt,vilaine,vilaines,rend,rend,3.0850648880004883,1.157480239868164,0.592524528503418,1.6116898854573567,-2,0,11.304978360537302,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.652489180268651,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines rendent, la vilaine rendent",wiki,simple_agrmt,vilaines,vilaine,rendent,rendent,3.2919464111328125,3.6628189086914062,5.072657585144043,4.009140968322754,2,0,9.128696382935672,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,4.564348191467836,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine va, les vilaines va",wiki,simple_agrmt,vilaine,vilaines,va,va,2.186800003051758,2.478835105895996,3.3168458938598633,2.6608270009358725,-2,0,11.922010679246547,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,5.961005339623274,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines vont, la vilaine vont",wiki,simple_agrmt,vilaines,vilaine,vont,vont,5.021636962890625,3.7295188903808594,6.510472774505615,5.087209542592366,2,0,10.329571947847029,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,5.1647859739235145,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"la vilaine permet, les vilaines permet",wiki,simple_agrmt,vilaine,vilaines,permet,permet,3.6025218963623047,5.4592180252075195,3.205355644226074,4.0890318552653,-2,0,13.38912411704219,3.4657359027997265,2.772588722239781,0.6931471805599453,2.0794415416798357,6.694562058521095,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les vilaines permettent, la vilaine permettent",wiki,simple_agrmt,vilaines,vilaine,permettent,permettent,2.9129228591918945,2.398662567138672,3.794508934020996,3.035364786783854,2,0,11.074668534037073,3.4657359027997265,0.6931471805599453,2.772588722239781,-2.0794415416798357,5.537334267018537,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le cuisinier casse, les cuisiniers casse",wiki,simple_agrmt,cuisinier,cuisiniers,casse,casse,0.3993864059448242,3.5370311737060547,-0.41397953033447266,1.174146016438802,-2,0,5.666426688112432,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,2.833213344056216,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers cassent, le cuisinier cassent",wiki,simple_agrmt,cuisiniers,cuisinier,cassent,cassent,2.7046499252319336,0.9795608520507812,3.349246025085449,2.344485600789388,2,0,2.772588722239781,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,1.3862943611198906,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0
"le cuisinier rentre, les cuisiniers rentre",wiki,simple_agrmt,cuisinier,cuisiniers,rentre,rentre,1.2789306640625,1.5280542373657227,3.2014217376708984,2.0028022130330405,-2,0,7.522400231387125,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,3.7612001156935624,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers rentrent, le cuisinier rentrent",wiki,simple_agrmt,cuisiniers,cuisinier,rentrent,rentrent,5.867916107177734,5.632382392883301,6.855834007263184,6.118710835774739,2,0,5.8888779583328805,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,2.9444389791664403,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0
"le cuisinier continue, les cuisiniers continue",wiki,simple_agrmt,cuisinier,cuisiniers,continue,continue,0.9173812866210938,2.348149299621582,1.7864370346069336,1.6839892069498699,-2,0,10.731952030043702,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.365976015021851,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers continuent, le cuisinier continuent",wiki,simple_agrmt,cuisiniers,cuisinier,continuent,continuent,5.194755554199219,2.5959300994873047,5.465394973754883,4.418693542480469,2,0,8.661466680572662,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.330733340286331,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0
"le cuisinier suit, les cuisiniers suit",wiki,simple_agrmt,cuisinier,cuisiniers,suit,suit,2.6922073364257812,3.223316192626953,4.999384880065918,3.638302803039551,-2,0,10.566407457475977,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.2832037287379885,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers suivent, le cuisinier suivent",wiki,simple_agrmt,cuisiniers,cuisinier,suivent,suivent,6.471617698669434,6.14656925201416,5.494545936584473,6.0375776290893555,2,0,9.55824698622306,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.77912349311153,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0
"le cuisinier rend, les cuisiniers rend",wiki,simple_agrmt,cuisinier,cuisiniers,rend,rend,-1.925384521484375,0.019019126892089844,-0.5290374755859375,-0.8118009567260742,-2,0,11.304978360537302,2.890371757896165,2.1972245773362196,0.6931471805599453,1.5040773967762742,5.652489180268651,1.791759469228055,0.0,0.0,0.0,0.0,0.0,0.0
"les cuisiniers rendent, le cuisinier rendent",wiki,simple_agrmt,cuisiniers,cuisinier,rendent,rendent,5.795682907104492,2.708249092102051,4.021272659301758,4.175068219502767,2,0,9.128696382935672,2.890371757896165,0.6931471805599453,2.1972245773362196,-1.5040773967762742,4.564348191467836,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.0
