minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2,delta_score_42,delta_score_13,delta_score_30,delta_avg
"the roommate awaits, the roommates awaits",childes,simple_agrmt,roommate,roommates,awaits,awaits,-1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.7619919776916504,0.1854548454284668,-0.2292642593383789,0.2393941879272461
"the roommates await, the roommate await",childes,simple_agrmt,roommates,roommate,await,await,1,0,0.8109302162163288,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-1.3117027282714844,-0.36569690704345703,-0.6624088287353516,-0.779936154683431
"the roommate complains, the roommates complains",childes,simple_agrmt,roommate,roommates,complains,complains,-1,0,2.3513752571634776,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-0.3803529739379883,-2.332914352416992,-1.9001836776733398,-1.5378170013427734
"the roommates complain, the roommate complain",childes,simple_agrmt,roommates,roommate,complain,complain,1,0,2.3513752571634776,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.9459101490553132,0.0,0.0,1.791759469228055,0.0,0.0,0.0,0.0,0.7458829879760742,1.9649410247802734,1.9146013259887695,1.5418084462483723
"the roommate arrives, the roommates arrives",childes,simple_agrmt,roommate,roommates,arrives,arrives,-1,0,3.1780538303479453,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-0.38721466064453125,-1.5931363105773926,-2.423574924468994,-1.4679752985636394
"the roommates arrive, the roommate arrive",childes,simple_agrmt,roommates,roommate,arrive,arrive,1,0,3.1780538303479453,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,2.772588722239781,0.0,0.0,1.9459101490553132,0.0,0.0,0.0,0.0,2.2276687622070312,2.751692771911621,3.6027889251708984,2.8607168197631836
"the roommate disappears, the roommates disappears",childes,simple_agrmt,roommate,roommates,disappears,disappears,-1,0,5.220355825078324,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.6094379124341003,0.0,0.0,1.3862943611198906,0.0,0.0,0.0,0.0,1.019608497619629,-0.49767494201660156,0.23351764678955078,0.2518170674641927
"the roommates disappear, the roommate disappear",childes,simple_agrmt,roommates,roommate,disappear,disappear,1,0,5.220355825078324,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.6109179126442243,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,1.4176063537597656,0.9373064041137695,-0.45943737030029297,0.6318251291910807
"the roommate bows, the roommates bows",childes,simple_agrmt,roommate,roommates,bows,bows,-1,0,8.447199819595703,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.044522437723423,0.0,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,-0.42395687103271484,0.036839962005615234,3.2744007110595703,0.9624279340108236
"the roommates bow, the roommate bow",childes,simple_agrmt,roommates,roommate,bow,bow,1,0,8.447199819595703,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.402677381872279,0.0,0.0,4.394449154672439,0.0,0.0,0.0,0.0,-1.534571647644043,-1.5254831314086914,-4.266959190368652,-2.442337989807129
"the roommate hides, the roommates hides",childes,simple_agrmt,roommate,roommates,hides,hides,-1,0,8.338066525518801,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,2.3978952727983707,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,-1.4167633056640625,0.38353633880615234,-0.24073028564453125,-0.4246524175008138
"the roommates hide, the roommate hide",childes,simple_agrmt,roommates,roommate,hide,hide,1,0,8.338066525518801,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.940171252720432,0.0,0.0,5.267858159063328,0.0,0.0,0.0,0.0,3.2394399642944336,2.332271099090576,1.1683740615844727,2.246695041656494
"the roommate leaves, the roommates leaves",childes,simple_agrmt,roommate,roommates,leaves,leaves,-1,0,12.987876099495573,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.673323267171493,0.0,0.0,4.382026634673881,0.0,0.0,0.0,0.0,1.7460145950317383,-0.08702945709228516,2.439291477203369,1.3660922050476074
"the roommates leave, the roommate leave",childes,simple_agrmt,roommates,roommate,leave,leave,1,0,12.987876099495573,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,7.31455283232408,0.0,0.0,6.943122422819428,0.0,0.0,0.0,0.0,1.326186180114746,1.7616281509399414,3.1367759704589844,2.0748634338378906
"the roommate sits, the roommates sits",childes,simple_agrmt,roommate,roommates,sits,sits,-1,0,13.038946985251652,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,4.718498871295094,0.0,0.0,4.219507705176107,0.0,0.0,0.0,0.0,1.277827262878418,1.959320068359375,3.645308494567871,2.294151941935221
"the roommates sit, the roommate sit",childes,simple_agrmt,roommates,roommate,sit,sit,1,0,13.038946985251652,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,8.320448113956559,0.0,0.0,7.906915488678587,0.0,0.0,0.0,0.0,0.8829240798950195,0.6149806976318359,1.399599552154541,0.9658347765604655
"the roommate thinks, the roommates thinks",childes,simple_agrmt,roommate,roommates,thinks,thinks,-1,0,14.62271116114568,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.0369526024136295,0.0,0.0,4.77912349311153,0.0,0.0,0.0,0.0,1.6923761367797852,0.9894189834594727,0.16522216796875,0.9490057627360026
"the roommates think, the roommate think",childes,simple_agrmt,roommates,roommate,think,think,1,0,14.62271116114568,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,9.585758558732051,0.0,0.0,9.520908548214665,0.0,0.0,0.0,0.0,2.7559447288513184,1.6304588317871094,2.605724334716797,2.3307092984517417
"the roommate goes, the roommates goes",childes,simple_agrmt,roommate,roommates,goes,goes,-1,0,18.284481326742032,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,8.19946419761216,0.0,0.0,7.878912912297133,0.0,0.0,0.0,0.0,3.060286045074463,1.9463558197021484,2.0364036560058594,2.3476818402608237
"the roommates go, the roommate go",childes,simple_agrmt,roommates,roommate,go,go,1,0,18.284481326742032,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,10.085017129129874,0.0,0.0,9.702777967428895,0.0,0.0,0.0,0.0,2.186807632446289,2.8883609771728516,1.8441758155822754,2.306448141733805
"the resident awaits, the residents awaits",childes,simple_agrmt,resident,residents,awaits,awaits,-1,-1,0.8109302162163288,2.0794415416798357,0.6931471805599453,1.3862943611198906,-0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.0,-0.4130105972290039,-1.3956279754638672,-2.979926586151123,-1.5961883862813313
"the residents await, the resident await",childes,simple_agrmt,residents,resident,await,await,1,1,0.8109302162163288,2.0794415416798357,1.3862943611198906,0.6931471805599453,0.6931471805599453,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.4054651081081644,0.0,0.0,0.0,0.0,0.26956653594970703,1.496586799621582,2.378540515899658,1.3815646171569824
"the resident complains, the residents complains",childes,simple_agrmt,resident,residents,complains,complains,-1,-1,2.3513752571634776,2.0794415416798357,0.6931471805599453,1.3862943611198906,-0.6931471805599453,0.4054651081081644,0.4054651081081644,0.6931471805599453,0.4054651081081644,0.0,0.0,0.0,0.0,-4.805151462554932,-2.7116923332214355,-3.017303466796875,-3.5113824208577475
