minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj2_root,bigram_nsubj1_root
"le visiteur poursuit, les visiteurs poursuit",childes,simple_agrmt,visiteur,visiteurs,poursuit,poursuit,-0.28770971298217773,-3.170022487640381,-1.1479897499084473,-1.535240650177002,-2,0,1.5040773967762742,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs poursuivent, le visiteur poursuivent",childes,simple_agrmt,visiteurs,visiteur,poursuivent,poursuivent,1.793471336364746,5.513409614562988,3.167818069458008,3.4915663401285806,2,0,1.5040773967762742,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur grandit, les visiteurs grandit",childes,simple_agrmt,visiteur,visiteurs,grandit,grandit,3.9747323989868164,0.9004945755004883,0.36338138580322266,1.746202786763509,-2,0,3.295836866004329,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,2.8903717578961645,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs grandissent, le visiteur grandissent",childes,simple_agrmt,visiteurs,visiteur,grandissent,grandissent,4.111450672149658,3.5090184211730957,2.4046783447265625,3.3417158126831055,2,0,3.295836866004329,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur apprend, les visiteurs apprend",childes,simple_agrmt,visiteur,visiteurs,apprend,apprend,3.4503955841064453,2.4016218185424805,0.9184303283691406,2.2568159103393555,-2,0,5.703782474656201,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,4.0943445622221,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs apprennent, le visiteur apprennent",childes,simple_agrmt,visiteurs,visiteur,apprennent,apprennent,5.094010353088379,5.524500846862793,8.221973896026611,6.280161698659261,2,0,5.703782474656201,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur descend, les visiteurs descend",childes,simple_agrmt,visiteur,visiteurs,descend,descend,1.0724382400512695,0.6025619506835938,-0.8355441093444824,0.27981869379679364,-2,0,7.255591274253664,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.176149732573829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs descendent, le visiteur descendent",childes,simple_agrmt,visiteurs,visiteur,descendent,descendent,3.340280532836914,4.971348285675049,4.677409648895264,4.329679489135742,2,0,7.255591274253664,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"le visiteur attend, les visiteurs attend",childes,simple_agrmt,visiteur,visiteurs,attend,attend,0.6448097229003906,-0.5633811950683594,-0.8418264389038086,-0.2534659703572591,-2,0,8.066207568006265,1.0986122886681096,0.4054651081081644,0.6931471805599453,-0.2876820724517809,5.501258210544727,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"les visiteurs attendent, le visiteur attendent",childes,simple_agrmt,visiteurs,visiteur,attendent,attendent,4.438337326049805,4.305578231811523,4.064026355743408,4.269313971201579,2,0,8.066207568006265,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,2.5649493574615367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
