sentences,paradigm,13_logp,30_logp,42_logp
der feind zweifelt,simple_agrmt,-18.659968376159668,-18.386115074157715,-18.739830493927002
die feinde zweifelt,simple_agrmt,-17.221813201904297,-17.09329319000244,-14.587233066558838
die feinde zweifeln,simple_agrmt,-17.633450508117676,-16.12869930267334,-15.990553855895996
der feind zweifeln,simple_agrmt,-20.144631385803223,-18.727731704711914,-19.399301528930664
der feind konstruiert,simple_agrmt,-17.302620887756348,-20.489145278930664,-14.0933256149292
die feinde konstruiert,simple_agrmt,-13.941999435424805,-16.063783168792725,-13.499493598937988
die feinde konstruieren,simple_agrmt,-13.358983993530273,-14.673460960388184,-12.875227928161621
der feind konstruieren,simple_agrmt,-17.722610473632812,-20.464463233947754,-14.198822975158691
der feind fürchtet,simple_agrmt,-9.705672264099121,-15.943919658660889,-12.461939334869385
die feinde fürchtet,simple_agrmt,-12.614946365356445,-18.70836353302002,-13.795877456665039
die feinde fürchten,simple_agrmt,-14.828017711639404,-18.810477256774902,-14.912485599517822
der feind fürchten,simple_agrmt,-12.377500057220459,-17.541886806488037,-16.560302734375
der feind schält,simple_agrmt,-15.550002098083496,-15.255228996276855,-17.09829330444336
die feinde schält,simple_agrmt,-13.759720802307129,-13.150815963745117,-14.784671783447266
die feinde schälen,simple_agrmt,-14.853429794311523,-13.450732231140137,-11.977121353149414
der feind schälen,simple_agrmt,-18.726204872131348,-17.549142837524414,-17.30766201019287
der feind taucht,simple_agrmt,-11.54719066619873,-13.007406234741211,-11.027450561523438
die feinde taucht,simple_agrmt,-11.3173828125,-12.20352554321289,-9.786833763122559
die feinde tauchen,simple_agrmt,-13.998635292053223,-14.42494010925293,-13.101055145263672
der feind tauchen,simple_agrmt,-16.89959144592285,-19.279271125793457,-15.628325462341309
der feind kennt,simple_agrmt,-9.146102905273438,-9.739635467529297,-9.455473899841309
die feinde kennt,simple_agrmt,-11.600396156311035,-11.867731094360352,-9.293035507202148
die feinde kennen,simple_agrmt,-9.163183212280273,-10.251264572143555,-11.957497596740723
der feind kennen,simple_agrmt,-12.067145347595215,-9.722084045410156,-14.10147476196289
der feind schreibt,simple_agrmt,-9.878022193908691,-10.643603324890137,-11.381316184997559
die feinde schreibt,simple_agrmt,-9.341493606567383,-11.10279655456543,-8.055534362792969
die feinde schreiben,simple_agrmt,-11.6701078414917,-8.670248031616211,-8.037128448486328
der feind schreiben,simple_agrmt,-13.592719078063965,-10.513351440429688,-12.119894027709961
der feind erzählt,simple_agrmt,-11.573995590209961,-9.668625831604004,-12.138542175292969
die feinde erzählt,simple_agrmt,-11.802719116210938,-12.57075023651123,-10.60708236694336
die feinde erzählen,simple_agrmt,-10.922861099243164,-11.436141967773438,-10.14766788482666
der feind erzählen,simple_agrmt,-12.963214874267578,-10.326521873474121,-13.84245491027832
der feind spielt,simple_agrmt,-7.597211837768555,-9.283855438232422,-9.568833351135254
die feinde spielt,simple_agrmt,-8.234883308410645,-11.005269050598145,-7.578893661499023
die feinde spielen,simple_agrmt,-8.271341323852539,-11.315340042114258,-6.08957052230835
der feind spielen,simple_agrmt,-10.271297454833984,-11.463940620422363,-12.324289321899414
der feind kommt,simple_agrmt,-5.836000919342041,-8.653913497924805,-7.577259540557861
die feinde kommt,simple_agrmt,-6.4419331550598145,-7.348927021026611,-5.399078369140625
die feinde kommen,simple_agrmt,-8.316157341003418,-9.376602172851562,-7.802367210388184
der feind kommen,simple_agrmt,-12.212169647216797,-12.278982162475586,-12.822366714477539
der architekt zweifelt,simple_agrmt,-16.585082054138184,-13.998936653137207,-18.27344512939453
die architekten zweifelt,simple_agrmt,-18.205025672912598,-16.960036754608154,-18.787341594696045
die architekten zweifeln,simple_agrmt,-17.577271461486816,-16.182339191436768,-20.352840900421143
der architekt zweifeln,simple_agrmt,-16.841896057128906,-14.159651756286621,-19.824421882629395
der architekt konstruiert,simple_agrmt,-16.807601928710938,-17.745612144470215,-12.898286819458008
die architekten konstruiert,simple_agrmt,-17.432502269744873,-18.094783782958984,-14.854846000671387
die architekten konstruieren,simple_agrmt,-18.8527774810791,-16.92857074737549,-13.472135543823242
