sentences,paradigm,13_logp,30_logp,42_logp
der fahrgast schaukelt,simple_agrmt,-28.16454267501831,-31.24949359893799,-26.268378734588623
die fahrgäste schaukelt,simple_agrmt,-24.412595748901367,-29.476951599121094,-25.048171043395996
die fahrgäste schaukeln,simple_agrmt,-23.792922019958496,-27.723536491394043,-27.510236740112305
der fahrgast schaukeln,simple_agrmt,-30.044382095336914,-33.7417893409729,-32.1446533203125
der fahrgast flüchtet,simple_agrmt,-16.20744514465332,-14.57815933227539,-13.055346012115479
die fahrgäste flüchtet,simple_agrmt,-14.674221515655518,-12.807018756866455,-10.478107452392578
die fahrgäste flüchten,simple_agrmt,-12.912304401397705,-13.28843641281128,-12.632994651794434
der fahrgast flüchten,simple_agrmt,-17.287317276000977,-18.79020404815674,-19.046431064605713
der fahrgast riecht,simple_agrmt,-14.532498359680176,-12.981657028198242,-18.184521675109863
die fahrgäste riecht,simple_agrmt,-18.50779628753662,-13.507186889648438,-17.608248710632324
die fahrgäste riechen,simple_agrmt,-13.475207328796387,-12.566542625427246,-11.73643684387207
der fahrgast riechen,simple_agrmt,-17.53914737701416,-14.249518394470215,-15.98492431640625
der fahrgast wandert,simple_agrmt,-10.7517671585083,-10.941276550292969,-12.539353370666504
die fahrgäste wandert,simple_agrmt,-11.06639575958252,-9.611189365386963,-9.526102542877197
die fahrgäste wandern,simple_agrmt,-9.48094654083252,-9.053680896759033,-8.152161121368408
der fahrgast wandern,simple_agrmt,-12.098505020141602,-14.878982543945312,-17.85613250732422
der fahrgast feiert,simple_agrmt,-12.319243431091309,-10.4957857131958,-12.58823299407959
die fahrgäste feiert,simple_agrmt,-10.383846282958984,-11.677145004272461,-11.93775749206543
die fahrgäste feiern,simple_agrmt,-9.637362480163574,-12.163826942443848,-12.350917339324951
der fahrgast feiern,simple_agrmt,-14.07421588897705,-15.482717514038086,-14.330050468444824
der fahrgast verschwindet,simple_agrmt,-10.522506713867188,-11.575801849365234,-11.043118476867676
die fahrgäste verschwindet,simple_agrmt,-11.83122205734253,-11.58118724822998,-10.08182668685913
die fahrgäste verschwinden,simple_agrmt,-10.187431812286377,-10.985159873962402,-10.744689464569092
der fahrgast verschwinden,simple_agrmt,-13.948319435119629,-12.73388957977295,-13.161567687988281
der fahrgast denkt,simple_agrmt,-10.7324538230896,-11.64601755142212,-11.03454875946045
die fahrgäste denkt,simple_agrmt,-16.898783683776855,-17.070289611816406,-15.342051982879639
die fahrgäste denken,simple_agrmt,-13.853163719177246,-16.415861129760742,-14.796306610107422
der fahrgast denken,simple_agrmt,-15.364128112792969,-16.218578338623047,-15.490678787231445
der fahrgast spricht,simple_agrmt,-9.369322776794434,-14.384082794189453,-12.11101245880127
die fahrgäste spricht,simple_agrmt,-10.458939552307129,-10.318994522094727,-11.41661548614502
die fahrgäste sprechen,simple_agrmt,-9.62386417388916,-10.870716094970703,-12.338082313537598
der fahrgast sprechen,simple_agrmt,-13.130632400512695,-14.15308952331543,-13.214359283447266
der fahrgast arbeitet,simple_agrmt,-10.258865356445312,-8.769784927368164,-10.899081230163574
die fahrgäste arbeitet,simple_agrmt,-9.363670349121094,-9.085391998291016,-10.266438484191895
die fahrgäste arbeiten,simple_agrmt,-10.008452415466309,-9.960145950317383,-9.532886505126953
der fahrgast arbeiten,simple_agrmt,-12.037375450134277,-10.993501663208008,-10.738142013549805
der fahrgast liegt,simple_agrmt,-5.835399150848389,-7.403042793273926,-6.342885971069336
die fahrgäste liegt,simple_agrmt,-8.01459789276123,-5.404847621917725,-6.015311241149902
die fahrgäste liegen,simple_agrmt,-4.735052585601807,-4.212145805358887,-4.407585144042969
der fahrgast liegen,simple_agrmt,-10.143104553222656,-11.29145622253418,-9.833209037780762
das kleinkind schaukelt,simple_agrmt,-29.87257146835327,-31.62600040435791,-29.40803813934326
die kleinkinder schaukelt,simple_agrmt,-24.248365879058838,-27.56646728515625,-24.74948787689209
die kleinkinder schaukeln,simple_agrmt,-23.92732524871826,-26.572564125061035,-27.14298152923584
das kleinkind schaukeln,simple_agrmt,-29.125356674194336,-31.52231216430664,-33.736289501190186
das kleinkind flüchtet,simple_agrmt,-22.24010467529297,-17.566837310791016,-18.514527320861816
die kleinkinder flüchtet,simple_agrmt,-15.88432264328003,-14.038008689880371,-13.767066955566406
die kleinkinder flüchten,simple_agrmt,-11.567196369171143,-10.920774459838867,-12.662071228027344
das kleinkind flüchten,simple_agrmt,-23.411989212036133,-18.94852352142334,-22.246607780456543
das kleinkind riecht,simple_agrmt,-16.510722160339355,-15.596941947937012,-18.85648536682129
die kleinkinder riecht,simple_agrmt,-19.821837425231934,-12.313193321228027,-21.622032165527344
die kleinkinder riechen,simple_agrmt,-14.632133483886719,-12.488213539123535,-15.719470024108887
das kleinkind riechen,simple_agrmt,-15.383514404296875,-16.855223655700684,-17.826719284057617
das kleinkind wandert,simple_agrmt,-17.409655570983887,-14.20003890991211,-15.011324882507324
die kleinkinder wandert,simple_agrmt,-13.41259765625,-11.380331039428711,-13.38382625579834
die kleinkinder wandern,simple_agrmt,-11.64947509765625,-9.575252532958984,-10.648676872253418
das kleinkind wandern,simple_agrmt,-16.36197853088379,-18.164912223815918,-16.854246139526367
das kleinkind feiert,simple_agrmt,-14.955883979797363,-18.38129997253418,-16.401671409606934
die kleinkinder feiert,simple_agrmt,-14.194352149963379,-13.497452735900879,-13.130073547363281
