sentences,paradigm,13_logp,30_logp,42_logp
the roommate awaits,simple_agrmt,-25.45991802215576,-21.93132972717285,-18.237902641296387
the roommates awaits,simple_agrmt,-25.64537286758423,-21.702065467834473,-18.999894618988037
the roommates await,simple_agrmt,-20.32225751876831,-19.324445724487305,-16.01618528366089
the roommate await,simple_agrmt,-19.956560611724854,-18.662036895751953,-14.704482555389404
the roommate complains,simple_agrmt,-15.19443130493164,-13.44435977935791,-17.410825729370117
the roommates complains,simple_agrmt,-12.861516952514648,-11.54417610168457,-17.03047275543213
the roommates complain,simple_agrmt,-11.430926322937012,-10.616935729980469,-13.258660316467285
the roommate complain,simple_agrmt,-13.395867347717285,-12.531537055969238,-14.00454330444336
the roommate arrives,simple_agrmt,-22.123250484466553,-22.706169605255127,-17.0811824798584
the roommates arrives,simple_agrmt,-20.53011417388916,-20.282594680786133,-16.693967819213867
the roommates arrive,simple_agrmt,-13.07009506225586,-7.732044219970703,-9.645849227905273
the roommate arrive,simple_agrmt,-15.82178783416748,-11.334833145141602,-11.873517990112305
the roommate disappears,simple_agrmt,-14.21695613861084,-12.185344696044922,-15.048754692077637
the roommates disappears,simple_agrmt,-13.719281196594238,-12.418862342834473,-16.068363189697266
the roommates disappear,simple_agrmt,-11.310891151428223,-11.270143508911133,-11.222368240356445
the roommate disappear,simple_agrmt,-12.248197555541992,-10.81070613861084,-12.639974594116211
the roommate bows,simple_agrmt,-11.283936977386475,-11.583846092224121,-14.670904159545898
the roommates bows,simple_agrmt,-11.32077693939209,-14.858246803283691,-14.246947288513184
the roommates bow,simple_agrmt,-9.870406150817871,-14.720035552978516,-12.620808601379395
the roommate bow,simple_agrmt,-8.34492301940918,-10.453076362609863,-11.086236953735352
the roommate hides,simple_agrmt,-14.214183807373047,-12.88941478729248,-14.436497688293457
the roommates hides,simple_agrmt,-14.5977201461792,-12.64868450164795,-13.019734382629395
the roommates hide,simple_agrmt,-7.063668727874756,-9.06559944152832,-7.6382904052734375
the roommate hide,simple_agrmt,-9.395939826965332,-10.233973503112793,-10.877730369567871
the roommate leaves,simple_agrmt,-9.446252822875977,-6.786059856414795,-6.26517391204834
the roommates leaves,simple_agrmt,-9.359223365783691,-9.225351333618164,-8.011188507080078
the roommates leave,simple_agrmt,-9.555362701416016,-8.717060089111328,-10.038542747497559
the roommate leave,simple_agrmt,-11.316990852355957,-11.853836059570312,-11.364728927612305
the roommate sits,simple_agrmt,-9.781999588012695,-9.442119598388672,-10.148983001708984
the roommates sits,simple_agrmt,-11.74131965637207,-13.087428092956543,-11.426810264587402
the roommates sit,simple_agrmt,-8.552011489868164,-6.355310440063477,-8.413432121276855
the roommate sit,simple_agrmt,-9.1669921875,-7.754909992218018,-9.296356201171875
the roommate thinks,simple_agrmt,-10.712929725646973,-9.099054336547852,-9.030498504638672
the roommates thinks,simple_agrmt,-11.702348709106445,-9.264276504516602,-10.722874641418457
the roommates think,simple_agrmt,-9.112024307250977,-6.272172927856445,-5.895355701446533
the roommate think,simple_agrmt,-10.742483139038086,-8.877897262573242,-8.651300430297852
the roommate goes,simple_agrmt,-6.83753776550293,-6.525552749633789,-7.64364767074585
the roommates goes,simple_agrmt,-8.783893585205078,-8.561956405639648,-10.703933715820312
the roommates go,simple_agrmt,-3.6162257194519043,-3.5365686416625977,-4.9429168701171875
the roommate go,simple_agrmt,-6.504586696624756,-5.380744457244873,-7.129724502563477
the resident awaits,simple_agrmt,-23.81779956817627,-20.111729621887207,-20.7613525390625
the residents awaits,simple_agrmt,-22.422171592712402,-17.131803035736084,-20.348341941833496
the residents await,simple_agrmt,-17.094011306762695,-15.27256155014038,-16.78251361846924
the resident await,simple_agrmt,-18.590598106384277,-17.65110206604004,-17.052080154418945
the resident complains,simple_agrmt,-16.107118606567383,-12.650790214538574,-18.673333644866943
the residents complains,simple_agrmt,-13.395426273345947,-9.6334867477417,-13.868182182312012
the residents complain,simple_agrmt,-9.996134281158447,-8.189391136169434,-10.027043342590332
the resident complain,simple_agrmt,-13.043405532836914,-11.390089988708496,-15.461877346038818
the resident arrives,simple_agrmt,-20.75794744491577,-23.822255611419678,-14.802618980407715
the residents arrives,simple_agrmt,-16.562073230743408,-17.623667240142822,-13.252181053161621
the residents arrive,simple_agrmt,-9.01058053970337,-6.907817840576172,-7.856142997741699
the resident arrive,simple_agrmt,-12.6631498336792,-11.37796688079834,-10.235087394714355
the resident disappears,simple_agrmt,-13.869850158691406,-13.798810005187988,-16.353288650512695
the residents disappears,simple_agrmt,-12.115582466125488,-11.597163200378418,-14.368595123291016
the residents disappear,simple_agrmt,-9.697714805603027,-9.697978973388672,-12.985746383666992
the resident disappear,simple_agrmt,-13.189406394958496,-11.579977989196777,-13.374858856201172
the resident bows,simple_agrmt,-12.442488670349121,-14.601460456848145,-13.088313102722168
the residents bows,simple_agrmt,-14.87670612335205,-12.354402542114258,-14.703230857849121
the residents bow,simple_agrmt,-13.114242553710938,-11.831045150756836,-12.661226272583008
the resident bow,simple_agrmt,-10.935297966003418,-13.556304931640625,-11.72562026977539
the resident hides,simple_agrmt,-15.56766414642334,-16.96947431564331,-16.60421848297119
the residents hides,simple_agrmt,-17.03826141357422,-13.022351264953613,-14.978517532348633
the residents hide,simple_agrmt,-10.566493034362793,-9.820554733276367,-10.213475227355957
the resident hide,simple_agrmt,-12.129230499267578,-13.676204681396484,-10.245969772338867
the resident leaves,simple_agrmt,-13.13498306274414,-12.985475540161133,-12.595133781433105
the residents leaves,simple_agrmt,-11.959207534790039,-13.89447021484375,-12.112276077270508
the residents leave,simple_agrmt,-7.781961441040039,-6.790201187133789,-7.712756633758545
the resident leave,simple_agrmt,-10.59508228302002,-10.050253868103027,-8.870894432067871
the resident sits,simple_agrmt,-11.620893478393555,-13.281381607055664,-9.498729705810547
the residents sits,simple_agrmt,-11.825228691101074,-13.185803413391113,-13.535933494567871
the residents sit,simple_agrmt,-8.646161079406738,-8.000957489013672,-8.365283966064453
the resident sit,simple_agrmt,-12.179235458374023,-11.401789665222168,-10.25857925415039
the resident thinks,simple_agrmt,-10.406695365905762,-11.346813201904297,-8.424907684326172
the residents thinks,simple_agrmt,-9.581235885620117,-8.39138126373291,-7.667510986328125
the residents think,simple_agrmt,-8.15978717803955,-8.212905883789062,-5.758143901824951
the resident think,simple_agrmt,-13.046079635620117,-11.617822647094727,-8.956299781799316
the resident goes,simple_agrmt,-7.2276411056518555,-8.432539939880371,-7.967386245727539
the residents goes,simple_agrmt,-10.035785675048828,-9.2667818069458,-10.80246639251709
the residents go,simple_agrmt,-6.864001274108887,-5.777387619018555,-5.369287967681885
the resident go,simple_agrmt,-10.838329315185547,-8.431269645690918,-8.190884590148926
the librarian awaits,simple_agrmt,-24.387138843536377,-20.562647819519043,-22.957377910614014
the librarians awaits,simple_agrmt,-23.586508750915527,-21.006574630737305,-22.019659996032715
the librarians await,simple_agrmt,-17.761218547821045,-19.05996322631836,-17.174097061157227
the librarian await,simple_agrmt,-18.055272102355957,-18.357826232910156,-18.129165649414062
the librarian complains,simple_agrmt,-14.911946296691895,-12.301919937133789,-16.838058471679688
the librarians complains,simple_agrmt,-14.474863052368164,-12.155180931091309,-16.338990211486816
the librarians complain,simple_agrmt,-11.685810089111328,-11.24424934387207,-11.828438758850098
the librarian complain,simple_agrmt,-11.891412734985352,-11.126259803771973,-12.437163352966309
the librarian arrives,simple_agrmt,-20.58701467514038,-20.403234481811523,-17.79711627960205
the librarians arrives,simple_agrmt,-17.265862941741943,-17.058379650115967,-16.1045503616333
the librarians arrive,simple_agrmt,-9.127829551696777,-8.868760108947754,-8.244997024536133
the librarian arrive,simple_agrmt,-11.75420093536377,-10.348307609558105,-10.745266914367676
the librarian disappears,simple_agrmt,-16.87985897064209,-11.951140403747559,-15.447369575500488
the librarians disappears,simple_agrmt,-16.3784761428833,-15.658963203430176,-16.162994384765625
the librarians disappear,simple_agrmt,-11.283740043640137,-13.75480842590332,-13.36584758758545
the librarian disappear,simple_agrmt,-13.67578125,-14.671250343322754,-15.4658203125
the librarian bows,simple_agrmt,-15.431234359741211,-14.790905952453613,-15.759665489196777
the librarians bows,simple_agrmt,-16.495814323425293,-14.529401779174805,-17.015316486358643
the librarians bow,simple_agrmt,-13.9010009765625,-13.759834289550781,-12.97859001159668
the librarian bow,simple_agrmt,-14.228448867797852,-14.173667907714844,-11.962868690490723
the librarian hides,simple_agrmt,-14.53929328918457,-11.76875114440918,-12.357121467590332
the librarians hides,simple_agrmt,-14.704328536987305,-13.001113891601562,-13.532526016235352
the librarians hide,simple_agrmt,-10.329087257385254,-10.941865921020508,-9.054227828979492
the librarian hide,simple_agrmt,-10.196294784545898,-12.209915161132812,-11.14008617401123
the librarian leaves,simple_agrmt,-12.94865894317627,-12.9299955368042,-12.066259384155273
the librarians leaves,simple_agrmt,-12.88729190826416,-14.830121040344238,-13.106904029846191
the librarians leave,simple_agrmt,-9.261208534240723,-9.815088272094727,-9.643692016601562
the librarian leave,simple_agrmt,-9.920080184936523,-9.440460205078125,-9.592516899108887
the librarian sits,simple_agrmt,-9.09669017791748,-8.735983848571777,-7.246566295623779
the librarians sits,simple_agrmt,-12.516409873962402,-14.446596145629883,-14.042587280273438
the librarians sit,simple_agrmt,-9.911602973937988,-7.731722831726074,-7.823641300201416
the librarian sit,simple_agrmt,-8.635326385498047,-8.377471923828125,-7.973030090332031
the librarian thinks,simple_agrmt,-6.514071464538574,-7.418965816497803,-6.730228424072266
the librarians thinks,simple_agrmt,-10.013644218444824,-9.404545783996582,-10.610128402709961
the librarians think,simple_agrmt,-9.948881149291992,-7.940743923187256,-7.661869049072266
the librarian think,simple_agrmt,-9.724833488464355,-10.252091407775879,-9.706622123718262
the librarian goes,simple_agrmt,-5.933429718017578,-5.575783729553223,-5.634855270385742
the librarians goes,simple_agrmt,-8.626494407653809,-10.075526237487793,-9.418353080749512
the librarians go,simple_agrmt,-5.550872802734375,-4.870882987976074,-3.5317134857177734
the librarian go,simple_agrmt,-7.469086170196533,-7.2184367179870605,-6.534890651702881
the officer awaits,simple_agrmt,-25.39594316482544,-20.134246826171875,-22.151286125183105
the officers awaits,simple_agrmt,-24.682182788848877,-16.330877780914307,-21.92181921005249
the officers await,simple_agrmt,-18.51356792449951,-15.32267141342163,-18.629254817962646
the officer await,simple_agrmt,-19.88706111907959,-17.69386863708496,-19.05895709991455
the officer complains,simple_agrmt,-16.304373741149902,-12.474279403686523,-20.506016731262207
the officers complains,simple_agrmt,-14.981964111328125,-10.83292293548584,-14.097754001617432
the officers complain,simple_agrmt,-11.429559707641602,-9.84555435180664,-9.885674953460693
the officer complain,simple_agrmt,-14.631136894226074,-11.559380531311035,-16.515432357788086
the officer arrives,simple_agrmt,-20.697277545928955,-19.537027835845947,-16.87439727783203
the officers arrives,simple_agrmt,-19.596646308898926,-18.16064214706421,-16.969982147216797
the officers arrive,simple_agrmt,-11.215215682983398,-9.751270294189453,-7.264018535614014
the officer arrive,simple_agrmt,-15.2360258102417,-12.699135780334473,-13.241721153259277
the officer disappears,simple_agrmt,-14.944418907165527,-12.27745532989502,-16.753372192382812
the officers disappears,simple_agrmt,-13.533103942871094,-12.663029670715332,-15.901128768920898
the officers disappear,simple_agrmt,-9.7891263961792,-10.450103759765625,-13.717679977416992
the officer disappear,simple_agrmt,-11.293313026428223,-13.270956039428711,-14.35111141204834
the officer bows,simple_agrmt,-12.443253517150879,-12.086715698242188,-16.47433567047119
the officers bows,simple_agrmt,-13.136570930480957,-12.832677841186523,-14.473209381103516
the officers bow,simple_agrmt,-11.926639556884766,-11.781301498413086,-11.81724739074707
the officer bow,simple_agrmt,-10.707398414611816,-10.458442687988281,-12.92641544342041
the officer hides,simple_agrmt,-11.793686866760254,-12.15298843383789,-13.495439529418945
the officers hides,simple_agrmt,-13.432971000671387,-13.213179588317871,-13.420641899108887
the officers hide,simple_agrmt,-10.84850788116455,-9.606432914733887,-11.424188613891602
the officer hide,simple_agrmt,-11.462775230407715,-9.665695190429688,-9.108817100524902
the officer leaves,simple_agrmt,-10.47159194946289,-11.99500560760498,-12.140079498291016
the officers leaves,simple_agrmt,-11.888144493103027,-12.910603523254395,-10.995485305786133
the officers leave,simple_agrmt,-8.985238075256348,-5.572928428649902,-8.703865051269531
the officer leave,simple_agrmt,-8.786420822143555,-8.010090827941895,-9.581387519836426
the officer sits,simple_agrmt,-9.159872055053711,-8.691097259521484,-8.094093322753906
the officers sits,simple_agrmt,-13.152094841003418,-13.205743789672852,-12.406694412231445
the officers sit,simple_agrmt,-8.834983825683594,-8.003435134887695,-8.38899040222168
the officer sit,simple_agrmt,-9.503771781921387,-9.60120677947998,-8.270910263061523
the officer thinks,simple_agrmt,-6.184397220611572,-6.447474479675293,-7.334774017333984
the officers thinks,simple_agrmt,-10.733444213867188,-12.3059663772583,-10.719218254089355
the officers think,simple_agrmt,-8.525877952575684,-8.574100494384766,-7.821986675262451
the officer think,simple_agrmt,-8.564460754394531,-9.393013954162598,-7.030726909637451
the officer goes,simple_agrmt,-7.287152290344238,-5.054811000823975,-6.9863176345825195
the officers goes,simple_agrmt,-9.815699577331543,-7.84149169921875,-8.695873260498047
the officers go,simple_agrmt,-3.553830146789551,-1.8778505325317383,-3.9700708389282227
the officer go,simple_agrmt,-6.714513778686523,-6.247601509094238,-5.0470709800720215
the toddler awaits,simple_agrmt,-26.94456386566162,-21.353382110595703,-21.703026294708252
the toddlers awaits,simple_agrmt,-25.81941270828247,-23.307079315185547,-20.36824893951416
the toddlers await,simple_agrmt,-19.92474889755249,-21.253474235534668,-17.818575859069824
the toddler await,simple_agrmt,-19.855257987976074,-19.348124504089355,-18.4125337600708
the toddler complains,simple_agrmt,-17.632765769958496,-12.199142456054688,-18.96221160888672
the toddlers complains,simple_agrmt,-16.144709587097168,-13.06395149230957,-16.177101135253906
the toddlers complain,simple_agrmt,-13.104949951171875,-12.004186630249023,-12.11092758178711
the toddler complain,simple_agrmt,-14.788298606872559,-11.25224781036377,-15.280871391296387
the toddler arrives,simple_agrmt,-19.539380073547363,-20.391890048980713,-17.45975351333618
the toddlers arrives,simple_agrmt,-18.30959177017212,-19.384279251098633,-18.651083946228027
the toddlers arrive,simple_agrmt,-12.11771297454834,-11.525444984436035,-11.249561309814453
the toddler arrive,simple_agrmt,-14.731596946716309,-14.884500503540039,-13.881139755249023
the toddler disappears,simple_agrmt,-16.309029579162598,-12.777097702026367,-15.912005424499512
the toddlers disappears,simple_agrmt,-16.8848237991333,-13.768193244934082,-13.955530166625977
the toddlers disappear,simple_agrmt,-10.881647109985352,-13.423922538757324,-12.80272102355957
the toddler disappear,simple_agrmt,-12.379799842834473,-14.628655433654785,-15.045478820800781
the toddler bows,simple_agrmt,-16.521551609039307,-13.807531356811523,-16.624961853027344
the toddlers bows,simple_agrmt,-12.087444305419922,-13.473626136779785,-14.632275581359863
the toddlers bow,simple_agrmt,-11.119831085205078,-12.622756958007812,-13.956703186035156
the toddler bow,simple_agrmt,-12.835799217224121,-11.745211601257324,-12.56020736694336
the toddler hides,simple_agrmt,-11.355547904968262,-10.469328880310059,-11.864462852478027
the toddlers hides,simple_agrmt,-10.564374923706055,-13.955732345581055,-10.345467567443848
the toddlers hide,simple_agrmt,-8.250348091125488,-10.955854415893555,-11.044241905212402
the toddler hide,simple_agrmt,-12.81539535522461,-13.404109954833984,-12.782353401184082
the toddler leaves,simple_agrmt,-11.724654197692871,-11.041308403015137,-10.657597541809082
the toddlers leaves,simple_agrmt,-11.969038009643555,-13.463580131530762,-8.943778991699219
the toddlers leave,simple_agrmt,-11.18677043914795,-9.128063201904297,-10.164772033691406
the toddler leave,simple_agrmt,-12.600665092468262,-11.407132148742676,-11.768884658813477
the toddler sits,simple_agrmt,-8.346593856811523,-8.881630897521973,-8.960060119628906
the toddlers sits,simple_agrmt,-9.198196411132812,-9.72509765625,-10.983322143554688
the toddlers sit,simple_agrmt,-7.0737810134887695,-6.990927219390869,-8.76192855834961
the toddler sit,simple_agrmt,-10.396767616271973,-10.475556373596191,-11.220191955566406
the toddler thinks,simple_agrmt,-9.252445220947266,-8.189288139343262,-7.753644943237305
the toddlers thinks,simple_agrmt,-10.461511611938477,-9.584151268005371,-10.730875968933105
the toddlers think,simple_agrmt,-9.024860382080078,-7.869880199432373,-9.819091796875
the toddler think,simple_agrmt,-10.30930233001709,-9.083902359008789,-10.739639282226562
the toddler goes,simple_agrmt,-6.749433517456055,-6.8373823165893555,-4.893060684204102
the toddlers goes,simple_agrmt,-7.32595157623291,-6.331958293914795,-7.839457988739014
the toddlers go,simple_agrmt,-2.7216110229492188,-3.8925676345825195,-4.7898268699646
the toddler go,simple_agrmt,-6.792078495025635,-8.089987754821777,-8.209444046020508
