sentences,paradigm,13_logp,30_logp,42_logp
the picker grinds,simple_agrmt,-17.803441047668457,-10.865544319152832,-13.676054000854492
the pickers grinds,simple_agrmt,-15.989156723022461,-11.528485298156738,-15.948116779327393
the pickers grind,simple_agrmt,-9.941516876220703,-10.031312942504883,-9.47726058959961
the picker grind,simple_agrmt,-10.762712478637695,-9.023364067077637,-8.438920974731445
the picker exaggerates,simple_agrmt,-14.979856491088867,-16.07381820678711,-17.73067569732666
the pickers exaggerates,simple_agrmt,-18.418729782104492,-19.74357032775879,-19.569639205932617
the pickers exaggerate,simple_agrmt,-14.358890533447266,-14.284408569335938,-15.198808670043945
the picker exaggerate,simple_agrmt,-16.52056312561035,-18.562521934509277,-19.197569847106934
the picker screams,simple_agrmt,-15.528419494628906,-12.945642948150635,-9.74069881439209
the pickers screams,simple_agrmt,-15.514765739440918,-17.135083198547363,-14.315474510192871
the pickers scream,simple_agrmt,-12.614258766174316,-13.037826538085938,-12.150286674499512
the picker scream,simple_agrmt,-12.227144241333008,-11.672394275665283,-9.100128173828125
the picker swims,simple_agrmt,-14.020685195922852,-12.329070091247559,-15.36219596862793
the pickers swims,simple_agrmt,-18.27527618408203,-17.475610733032227,-18.8433780670166
the pickers swim,simple_agrmt,-9.521001815795898,-10.49422836303711,-10.916670799255371
the picker swim,simple_agrmt,-11.309022903442383,-10.323887825012207,-10.293489456176758
the picker enjoys,simple_agrmt,-11.721699714660645,-13.527181625366211,-8.57628583908081
the pickers enjoys,simple_agrmt,-10.381012916564941,-11.852941989898682,-8.870974063873291
the pickers enjoy,simple_agrmt,-8.414306640625,-8.348578453063965,-7.486525058746338
the picker enjoy,simple_agrmt,-12.43582820892334,-13.494705200195312,-10.075960159301758
the picker draws,simple_agrmt,-8.316654205322266,-9.375419616699219,-8.989665985107422
the pickers draws,simple_agrmt,-12.327672004699707,-15.212904930114746,-12.659639358520508
the pickers draw,simple_agrmt,-8.880500793457031,-9.336277961730957,-8.759978294372559
the picker draw,simple_agrmt,-8.302452087402344,-9.214859962463379,-8.953328132629395
the picker rests,simple_agrmt,-10.506149291992188,-10.540581703186035,-10.114598274230957
the pickers rests,simple_agrmt,-14.75427532196045,-15.205559730529785,-15.32438850402832
the pickers rest,simple_agrmt,-10.043137550354004,-9.437382698059082,-9.28598403930664
the picker rest,simple_agrmt,-8.44327449798584,-9.152366638183594,-9.704229354858398
the picker runs,simple_agrmt,-8.419687271118164,-9.925602912902832,-8.850516319274902
the pickers runs,simple_agrmt,-11.730208396911621,-12.491506576538086,-10.474782943725586
the pickers run,simple_agrmt,-9.092077255249023,-8.27713680267334,-6.944577693939209
the picker run,simple_agrmt,-9.883472442626953,-8.687762260437012,-10.010886192321777
the picker plays,simple_agrmt,-9.37376594543457,-9.355321884155273,-7.050971984863281
the pickers plays,simple_agrmt,-9.705036163330078,-10.56868839263916,-9.634917259216309
the pickers play,simple_agrmt,-6.39871883392334,-8.084388732910156,-8.011719703674316
the picker play,simple_agrmt,-9.847168922424316,-10.2799654006958,-10.055974006652832
the picker works,simple_agrmt,-8.514326095581055,-7.759189128875732,-7.66829252243042
the pickers works,simple_agrmt,-11.45766830444336,-11.87371826171875,-11.850238800048828
the pickers work,simple_agrmt,-8.87197208404541,-9.299259185791016,-9.066078186035156
the picker work,simple_agrmt,-11.343291282653809,-9.548009872436523,-8.612504005432129
the harvester grinds,simple_agrmt,-14.49369764328003,-8.576282978057861,-17.09374237060547
the harvesters grinds,simple_agrmt,-16.584141731262207,-11.363116264343262,-17.72018051147461
the harvesters grind,simple_agrmt,-10.537186622619629,-10.529540061950684,-11.1126708984375
the harvester grind,simple_agrmt,-8.382459163665771,-8.079173564910889,-10.291808128356934
the harvester exaggerates,simple_agrmt,-16.26248550415039,-14.39199686050415,-19.016942977905273
the harvesters exaggerates,simple_agrmt,-17.943021774291992,-19.74657917022705,-20.178131103515625
the harvesters exaggerate,simple_agrmt,-15.02455997467041,-15.559832572937012,-17.655635833740234
the harvester exaggerate,simple_agrmt,-15.8024263381958,-16.373085498809814,-18.613003730773926
the harvester screams,simple_agrmt,-11.416668891906738,-13.21944808959961,-11.69716739654541
the harvesters screams,simple_agrmt,-13.27224588394165,-17.630146980285645,-14.30090618133545
the harvesters scream,simple_agrmt,-12.55459451675415,-15.121121406555176,-12.617586135864258
the harvester scream,simple_agrmt,-10.419021606445312,-12.576051712036133,-10.075509071350098
the harvester swims,simple_agrmt,-14.224193572998047,-16.443981647491455,-18.25071144104004
the harvesters swims,simple_agrmt,-17.366156578063965,-19.15427303314209,-20.32491111755371
the harvesters swim,simple_agrmt,-9.709752082824707,-9.846392631530762,-12.410148620605469
the harvester swim,simple_agrmt,-10.264372825622559,-8.957121849060059,-11.01552963256836
the harvester enjoys,simple_agrmt,-12.37330150604248,-12.724190711975098,-12.012983322143555
the harvesters enjoys,simple_agrmt,-10.992630958557129,-13.600717544555664,-10.472266674041748
the harvesters enjoy,simple_agrmt,-8.06992244720459,-7.841664791107178,-8.779783248901367
the harvester enjoy,simple_agrmt,-10.625189781188965,-11.36774730682373,-12.047765731811523
the harvester draws,simple_agrmt,-8.152795314788818,-8.846405982971191,-9.762893676757812
the harvesters draws,simple_agrmt,-12.170472145080566,-16.29310894012451,-14.189692497253418
the harvesters draw,simple_agrmt,-9.930398941040039,-9.976900100708008,-10.662313461303711
the harvester draw,simple_agrmt,-7.913120746612549,-8.51608657836914,-9.274956703186035
the harvester rests,simple_agrmt,-12.918858528137207,-12.467779159545898,-11.522161483764648
the harvesters rests,simple_agrmt,-14.572366714477539,-15.41015338897705,-14.354186534881592
the harvesters rest,simple_agrmt,-10.395866394042969,-10.131657600402832,-9.09658432006836
the harvester rest,simple_agrmt,-10.664432525634766,-9.882312774658203,-9.614225387573242
the harvester runs,simple_agrmt,-9.293353080749512,-8.640585899353027,-8.673835754394531
the harvesters runs,simple_agrmt,-9.613428115844727,-10.167795181274414,-10.52464485168457
the harvesters run,simple_agrmt,-6.653529644012451,-7.3509721755981445,-7.184835910797119
the harvester run,simple_agrmt,-9.048738479614258,-8.191171646118164,-8.474821090698242
