sentences,paradigm,13_logp,42_logp,30_logp
le visiteur poursuit,simple_agrmt,-16.502407550811768,-18.456793308258057,-17.22419023513794
les visiteurs poursuit,simple_agrmt,-13.332385063171387,-18.16908359527588,-16.076200485229492
les visiteurs poursuivent,simple_agrmt,-16.590038299560547,-17.87621784210205,-14.795041561126709
le visiteur poursuivent,simple_agrmt,-22.103447914123535,-19.669689178466797,-17.962859630584717
le visiteur grandit,simple_agrmt,-10.973267555236816,-10.95234203338623,-12.955094337463379
les visiteurs grandit,simple_agrmt,-11.873762130737305,-14.927074432373047,-13.318475723266602
les visiteurs grandissent,simple_agrmt,-22.123823165893555,-20.875568389892578,-20.90341281890869
le visiteur grandissent,simple_agrmt,-25.63284158706665,-24.987019062042236,-23.308091163635254
le visiteur apprend,simple_agrmt,-11.809089660644531,-10.500982284545898,-12.193095207214355
les visiteurs apprend,simple_agrmt,-14.210711479187012,-13.951377868652344,-13.111525535583496
les visiteurs apprennent,simple_agrmt,-10.783170700073242,-12.998638153076172,-12.930066108703613
le visiteur apprennent,simple_agrmt,-16.307671546936035,-18.09264850616455,-21.152040004730225
le visiteur descend,simple_agrmt,-7.424358367919922,-8.556689262390137,-8.547127723693848
les visiteurs descend,simple_agrmt,-8.026920318603516,-9.629127502441406,-7.711583614349365
les visiteurs descendent,simple_agrmt,-9.16447639465332,-10.4611177444458,-8.25811243057251
le visiteur descendent,simple_agrmt,-14.13582468032837,-13.801398277282715,-12.935522079467773
le visiteur attend,simple_agrmt,-9.114500045776367,-9.4186372756958,-11.024470329284668
les visiteurs attend,simple_agrmt,-8.551118850708008,-10.063446998596191,-10.18264389038086
les visiteurs attendent,simple_agrmt,-9.810408592224121,-10.934436798095703,-11.726550102233887
le visiteur attendent,simple_agrmt,-14.115986824035645,-15.372774124145508,-15.790576457977295
le visiteur arrive,simple_agrmt,-6.947546005249023,-7.440857887268066,-8.836533546447754
les visiteurs arrive,simple_agrmt,-9.431011199951172,-12.040557861328125,-11.134824752807617
les visiteurs arrivent,simple_agrmt,-5.270842552185059,-8.343111038208008,-7.365124702453613
le visiteur arrivent,simple_agrmt,-11.209393501281738,-11.494306564331055,-12.391792297363281
le visiteur met,simple_agrmt,-8.860207557678223,-9.280564308166504,-9.490219116210938
les visiteurs met,simple_agrmt,-10.943686485290527,-11.12507152557373,-9.997305870056152
les visiteurs mettent,simple_agrmt,-7.471503257751465,-8.951836585998535,-8.809549331665039
le visiteur mettent,simple_agrmt,-15.076566696166992,-13.39587116241455,-14.312769889831543
le joueur poursuit,simple_agrmt,-19.48959445953369,-20.721662044525146,-21.37691354751587
les joueurs poursuit,simple_agrmt,-15.034399509429932,-20.814895629882812,-21.138794898986816
les joueurs poursuivent,simple_agrmt,-16.042209148406982,-20.604308128356934,-17.61432981491089
le joueur poursuivent,simple_agrmt,-22.83274745941162,-21.419090270996094,-20.4159574508667
le joueur grandit,simple_agrmt,-10.086326599121094,-9.900676727294922,-12.996039390563965
les joueurs grandit,simple_agrmt,-11.241579055786133,-13.26535701751709,-13.037980079650879
les joueurs grandissent,simple_agrmt,-21.048134803771973,-22.684391021728516,-21.578466415405273
le joueur grandissent,simple_agrmt,-26.557100296020508,-26.77707290649414,-25.96339178085327
le joueur apprend,simple_agrmt,-12.116095542907715,-9.439225196838379,-13.061849594116211
les joueurs apprend,simple_agrmt,-14.518247604370117,-12.884079933166504,-13.564521789550781
les joueurs apprennent,simple_agrmt,-10.650856971740723,-12.534501075744629,-11.94694709777832
le joueur apprennent,simple_agrmt,-16.886256217956543,-19.136863231658936,-21.387847423553467
le joueur descend,simple_agrmt,-7.741705894470215,-8.467244148254395,-9.516793251037598
les joueurs descend,simple_agrmt,-8.780752182006836,-9.176416397094727,-8.108175277709961
les joueurs descendent,simple_agrmt,-9.51508903503418,-9.577960014343262,-8.989131927490234
le joueur descendent,simple_agrmt,-14.660759925842285,-13.512368202209473,-15.603302955627441
le joueur attend,simple_agrmt,-8.066694259643555,-9.297800064086914,-11.392351150512695
les joueurs attend,simple_agrmt,-8.127732276916504,-9.839143753051758,-9.785904884338379
les joueurs attendent,simple_agrmt,-8.565650939941406,-10.00830364227295,-10.862638473510742
le joueur attendent,simple_agrmt,-12.977715492248535,-13.612646102905273,-15.25452995300293
le joueur arrive,simple_agrmt,-5.779996871948242,-6.7901835441589355,-9.997222900390625
les joueurs arrive,simple_agrmt,-9.076818466186523,-11.605982780456543,-11.341839790344238
