sentences,paradigm,13_logp,42_logp,30_logp
le gamin casse,simple_agrmt,-9.88325023651123,-11.682701110839844,-10.69271469116211
les gamins casse,simple_agrmt,-11.370009422302246,-9.613739013671875,-12.356348991394043
les gamins cassent,simple_agrmt,-11.401854515075684,-9.428629875183105,-11.889881134033203
le gamin cassent,simple_agrmt,-15.923712730407715,-13.304061889648438,-16.53618335723877
le gamin rentre,simple_agrmt,-10.483345031738281,-13.054336547851562,-10.608677864074707
les gamins rentre,simple_agrmt,-13.322134971618652,-11.94011116027832,-11.738336563110352
les gamins rentrent,simple_agrmt,-10.244630813598633,-10.546236038208008,-10.229506492614746
le gamin rentrent,simple_agrmt,-16.51430034637451,-15.515432357788086,-18.71362066268921
le gamin continue,simple_agrmt,-10.304150581359863,-9.061264991760254,-7.978708267211914
les gamins continue,simple_agrmt,-10.373100280761719,-9.642509460449219,-9.891413688659668
les gamins continuent,simple_agrmt,-8.240765571594238,-9.066551208496094,-9.057389259338379
le gamin continuent,simple_agrmt,-12.12470531463623,-12.870033264160156,-13.113863945007324
le gamin suit,simple_agrmt,-8.423367500305176,-10.286428451538086,-7.967388153076172
les gamins suit,simple_agrmt,-11.110526084899902,-11.015396118164062,-12.928146362304688
les gamins suivent,simple_agrmt,-7.735113620758057,-8.702444076538086,-10.41443920135498
le gamin suivent,simple_agrmt,-14.258125305175781,-13.234861373901367,-15.362428665161133
le gamin rend,simple_agrmt,-10.408540725708008,-12.152009010314941,-10.834850311279297
les gamins rend,simple_agrmt,-9.67770004272461,-10.545339584350586,-9.141120910644531
les gamins rendent,simple_agrmt,-9.565542221069336,-10.55167293548584,-8.598902702331543
le gamin rendent,simple_agrmt,-15.237820625305176,-14.80037784576416,-14.167793273925781
le gamin va,simple_agrmt,-8.393926620483398,-7.7771711349487305,-6.986778259277344
les gamins va,simple_agrmt,-9.750216484069824,-10.984448432922363,-11.414143562316895
les gamins vont,simple_agrmt,-7.612457275390625,-8.394841194152832,-8.717012405395508
le gamin vont,simple_agrmt,-12.686573028564453,-13.925185203552246,-14.329402923583984
le gamin permet,simple_agrmt,-6.267548084259033,-6.939383506774902,-6.979905128479004
les gamins permet,simple_agrmt,-9.298608779907227,-9.445576667785645,-8.61207389831543
les gamins permettent,simple_agrmt,-6.571357250213623,-7.272066593170166,-7.224754333496094
le gamin permettent,simple_agrmt,-12.664024353027344,-11.454325675964355,-14.1000337600708
la vilaine casse,simple_agrmt,-10.639018058776855,-12.589851379394531,-12.039076805114746
les vilaines casse,simple_agrmt,-13.069757461547852,-11.030341148376465,-11.484646797180176
les vilaines cassent,simple_agrmt,-12.169010162353516,-9.703994750976562,-11.52481746673584
la vilaine cassent,simple_agrmt,-14.29835844039917,-15.530050277709961,-14.017818450927734
la vilaine rentre,simple_agrmt,-10.441855430603027,-8.83703327178955,-8.488645553588867
les vilaines rentre,simple_agrmt,-11.11492919921875,-10.442678451538086,-10.323543548583984
les vilaines rentrent,simple_agrmt,-11.023713111877441,-11.921472549438477,-9.366405487060547
la vilaine rentrent,simple_agrmt,-13.957622528076172,-14.3572998046875,-16.653799533843994
la vilaine continue,simple_agrmt,-6.460747718811035,-7.331766605377197,-6.898184776306152
les vilaines continue,simple_agrmt,-10.116022109985352,-9.531614303588867,-9.825515747070312
les vilaines continuent,simple_agrmt,-8.072959899902344,-8.177595138549805,-7.944622993469238
la vilaine continuent,simple_agrmt,-12.512862205505371,-12.817686080932617,-13.606979370117188
la vilaine suit,simple_agrmt,-9.01172924041748,-8.039011001586914,-8.36472225189209
les vilaines suit,simple_agrmt,-12.189513206481934,-11.267572402954102,-12.167065620422363
les vilaines suivent,simple_agrmt,-9.925554275512695,-9.712076187133789,-8.215813636779785
la vilaine suivent,simple_agrmt,-15.075026512145996,-15.546745300292969,-15.603206634521484
la vilaine rend,simple_agrmt,-10.27417278289795,-8.312487602233887,-10.652229309082031
les vilaines rend,simple_agrmt,-11.43165397644043,-11.397554397583008,-11.244752883911133
les vilaines rendent,simple_agrmt,-11.623214721679688,-9.998075485229492,-10.181041717529297
la vilaine rendent,simple_agrmt,-15.286030769348145,-13.290022850036621,-15.25369930267334
la vilaine va,simple_agrmt,-8.432929992675781,-8.681610107421875,-6.831210613250732
les vilaines va,simple_agrmt,-10.911766052246094,-10.868410110473633,-10.148055076599121
les vilaines vont,simple_agrmt,-8.452518463134766,-8.749382019042969,-6.805699825286865
la vilaine vont,simple_agrmt,-12.18203353881836,-13.771024703979492,-13.316173553466797
la vilaine permet,simple_agrmt,-6.916470527648926,-8.789019584655762,-7.371669769287109
les vilaines permet,simple_agrmt,-12.375688552856445,-12.391544342041016,-10.577022552490234
les vilaines permettent,simple_agrmt,-8.786380767822266,-9.386831283569336,-8.340729713439941
la vilaine permettent,simple_agrmt,-11.185040473937988,-12.299756050109863,-12.135238647460938
le cuisinier casse,simple_agrmt,-12.343914031982422,-10.629603385925293,-12.23876667022705
les cuisiniers casse,simple_agrmt,-15.880945205688477,-11.028983116149902,-11.824784278869629
les cuisiniers cassent,simple_agrmt,-12.897004127502441,-10.132097244262695,-14.045061111450195
le cuisinier cassent,simple_agrmt,-13.876562118530273,-12.836746215820312,-17.394309997558594
le cuisinier rentre,simple_agrmt,-12.456514358520508,-10.71523380279541,-8.068171501159668
les cuisiniers rentre,simple_agrmt,-13.984569549560547,-11.994161605834961,-11.26959228515625
les cuisiniers rentrent,simple_agrmt,-11.464860916137695,-11.415728569030762,-9.422134399414062
le cuisinier rentrent,simple_agrmt,-17.097240447998047,-17.28364372253418,-16.277966499328613
le cuisinier continue,simple_agrmt,-9.713732719421387,-10.28383731842041,-8.763675689697266
les cuisiniers continue,simple_agrmt,-12.061881065368652,-11.201218605041504,-10.550108909606934
les cuisiniers continuent,simple_agrmt,-9.688220977783203,-9.662443161010742,-8.291864395141602
le cuisinier continuent,simple_agrmt,-12.284151077270508,-14.857202529907227,-13.7572603225708
le cuisinier suit,simple_agrmt,-8.21420669555664,-8.35316276550293,-7.240583419799805
les cuisiniers suit,simple_agrmt,-11.437521934509277,-11.045366287231445,-12.239967346191406
les cuisiniers suivent,simple_agrmt,-7.642714500427246,-8.802467346191406,-9.044743537902832
le cuisinier suivent,simple_agrmt,-13.789281845092773,-15.274091720581055,-14.539291381835938
le cuisinier rend,simple_agrmt,-9.971151351928711,-12.04838752746582,-9.84299373626709
les cuisiniers rend,simple_agrmt,-9.99017333984375,-10.12299633026123,-9.313955307006836
les cuisiniers rendent,simple_agrmt,-9.704773902893066,-8.499427795410156,-9.05862808227539
le cuisinier rendent,simple_agrmt,-12.413023948669434,-14.29511833190918,-13.079900741577148
le cuisinier va,simple_agrmt,-6.8340654373168945,-7.289501190185547,-7.520924091339111
les cuisiniers va,simple_agrmt,-10.656688690185547,-11.317767143249512,-11.48410701751709
les cuisiniers vont,simple_agrmt,-8.100435256958008,-8.356550216674805,-7.746560573577881
le cuisinier vont,simple_agrmt,-11.75295352935791,-14.136045455932617,-13.00493049621582
le cuisinier permet,simple_agrmt,-5.868007659912109,-7.687617778778076,-6.482553005218506
les cuisiniers permet,simple_agrmt,-10.593595504760742,-11.876724243164062,-10.313258171081543
les cuisiniers permettent,simple_agrmt,-7.2557220458984375,-8.385003089904785,-6.795133590698242
le cuisinier permettent,simple_agrmt,-10.965592384338379,-11.960105895996094,-11.326814651489258
l'avocat casse,simple_agrmt,-13.827821731567383,-13.171554565429688,-12.849407196044922
