minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_score_42,delta_score_13,delta_score_30,delta_avg,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2
"der fahrgast schaukelt, die fahrgäste schaukelt",wiki,simple_agrmt,fahrgast,fahrgäste,schaukelt,schaukelt,-1.220207691192627,-3.7519469261169434,-1.7725419998168945,-2.2482322057088218,-1,-1,0.8109302162163288,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste schaukeln, der fahrgast schaukeln",wiki,simple_agrmt,fahrgäste,fahrgast,schaukeln,schaukeln,4.634416580200195,6.251460075378418,6.018252849578857,5.63470983505249,1,1,0.8109302162163288,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast flüchtet, die fahrgäste flüchtet",wiki,simple_agrmt,fahrgast,fahrgäste,flüchtet,flüchtet,-2.5772385597229004,-1.5332236289978027,-1.7711405754089355,-1.9605342547098796,-1,-1,3.295836866004329,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste flüchten, der fahrgast flüchten",wiki,simple_agrmt,fahrgäste,fahrgast,flüchten,flüchten,6.413436412811279,4.3750128746032715,5.501767635345459,5.43007230758667,1,1,3.295836866004329,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,2.1972245773362196,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast riecht, die fahrgäste riecht",wiki,simple_agrmt,fahrgast,fahrgäste,riecht,riecht,-0.5762729644775391,3.9752979278564453,0.5255298614501953,1.3081849416097004,-1,-1,3.465735902799726,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,1.3862943611198906,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste riechen, der fahrgast riechen",wiki,simple_agrmt,fahrgäste,fahrgast,riechen,riechen,4.24848747253418,4.063940048217773,1.6829757690429688,3.331801096598307,1,1,3.465735902799726,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast wandert, die fahrgäste wandert",wiki,simple_agrmt,fahrgast,fahrgäste,wandert,wandert,-3.0132508277893066,0.31462860107421875,-1.3300871849060059,-1.3429031372070312,-1,-1,5.4116460518550396,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste wandern, der fahrgast wandern",wiki,simple_agrmt,fahrgäste,fahrgast,wandern,wandern,9.70397138595581,2.617558479309082,5.825301647186279,6.048943837483724,1,1,5.4116460518550396,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,3.332204510175204,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast feiert, die fahrgäste feiert",wiki,simple_agrmt,fahrgast,fahrgäste,feiert,feiert,-0.6504755020141602,-1.9353971481323242,1.1813592910766602,-0.4681711196899414,-1,-1,5.768320995793772,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,2.0794415416798357,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste feiern, der fahrgast feiern",wiki,simple_agrmt,fahrgäste,fahrgast,feiern,feiern,1.979133129119873,4.436853408813477,3.3188905715942383,3.244959036509196,1,1,5.768320995793772,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,3.6888794541139363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast verschwindet, die fahrgäste verschwindet",wiki,simple_agrmt,fahrgast,fahrgäste,verschwindet,verschwindet,-0.9612917900085449,1.3087153434753418,0.005385398864746094,0.11760298411051433,-1,-1,6.866933284461882,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,2.995732273553991,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste verschwinden, der fahrgast verschwinden",wiki,simple_agrmt,fahrgäste,fahrgast,verschwinden,verschwinden,2.4168782234191895,3.760887622833252,1.7487297058105469,2.642165184020996,1,1,6.866933284461882,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,3.871201010907891,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast denkt, die fahrgäste denkt",wiki,simple_agrmt,fahrgast,fahrgäste,denkt,denkt,4.3075032234191895,6.166329860687256,5.424272060394287,5.299368381500244,-1,-1,7.917171988845775,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,2.6390573296152584,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste denken, der fahrgast denken",wiki,simple_agrmt,fahrgäste,fahrgast,denken,denken,0.6943721771240234,1.5109643936157227,-0.1972827911376953,0.6693512598673502,1,1,7.917171988845775,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,5.278114659230517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast spricht, die fahrgäste spricht",wiki,simple_agrmt,fahrgast,fahrgäste,spricht,spricht,-0.69439697265625,1.0896167755126953,-4.065088272094727,-1.2232894897460938,-1,-1,11.072558304852798,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,5.8522024797744745,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste sprechen, der fahrgast sprechen",wiki,simple_agrmt,fahrgäste,fahrgast,sprechen,sprechen,0.876276969909668,3.506768226623535,3.2823734283447266,2.5551395416259766,1,1,11.072558304852798,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,5.220355825078324,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast arbeitet, die fahrgäste arbeitet",wiki,simple_agrmt,fahrgast,fahrgäste,arbeitet,arbeitet,-0.6326427459716797,-0.8951950073242188,0.31560707092285156,-0.40407689412434894,-1,-1,10.828063863997055,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,4.5217885770490405,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste arbeiten, der fahrgast arbeiten",wiki,simple_agrmt,fahrgäste,fahrgast,arbeiten,arbeiten,1.2052555084228516,2.0289230346679688,1.033355712890625,1.4225114186604817,1,1,10.828063863997055,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,6.306275286948016,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"der fahrgast liegt, die fahrgäste liegt",wiki,simple_agrmt,fahrgast,fahrgäste,liegt,liegt,-0.3275747299194336,2.179198741912842,-1.9981951713562012,-0.04885705312093099,-1,-1,13.819120035953938,2.3513752571634776,0.4054651081081644,1.9459101490553132,-1.5404450409471488,7.370230641807081,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"die fahrgäste liegen, der fahrgast liegen",wiki,simple_agrmt,fahrgäste,fahrgast,liegen,liegen,5.425623893737793,5.40805196762085,7.079310417175293,5.9709954261779785,1,1,13.819120035953938,2.3513752571634776,1.9459101490553132,0.4054651081081644,1.5404450409471488,6.448889394146858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
