minimal_pair,dataset,paradigm,nsubj1,nsubj2,verb1,verb2,delta_sent_length_char,delta_subwords,total_freq_verbs,total_freq_nouns,nsubj1_log_freq,nsubj2_log_freq,nsubj1_nsubj2_log_freq,verb_log_freq,dep_nsubj1_freq,dep_nsubj2_freq,dep_verb_freq,bigram_freq_gramm,bigram_freq_ungramm,bigram_nsubj_root1,bigram_nsubj_root2,delta_score_42,delta_score_13,delta_score_30,delta_avg
"the picker grinds, the pickers grinds",wiki,simple_agrmt,picker,pickers,grinds,grinds,-1,0,1.5040773967762742,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,2.2720627784729004,-1.814284324645996,0.6629409790039062,0.37357314427693683
"the pickers grind, the picker grind",wiki,simple_agrmt,pickers,picker,grind,grind,1,0,1.5040773967762742,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,-1.038339614868164,0.8211956024169922,-1.007948875427246,-0.40836429595947266
"the picker exaggerates, the pickers exaggerates",wiki,simple_agrmt,picker,pickers,exaggerates,exaggerates,-1,0,2.0149030205422647,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.838963508605957,3.438873291015625,3.6697521209716797,2.982529640197754
"the pickers exaggerate, the picker exaggerate",wiki,simple_agrmt,pickers,picker,exaggerate,exaggerate,1,0,2.0149030205422647,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.6094379124341003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.9987611770629883,2.161672592163086,4.27811336517334,3.479515711466471
"the picker screams, the pickers screams",wiki,simple_agrmt,picker,pickers,screams,screams,-1,0,3.401197381662156,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,4.574775695800781,-0.013653755187988281,4.1894402503967285,2.9168540636698403
"the pickers scream, the picker scream",wiki,simple_agrmt,pickers,picker,scream,scream,1,0,3.401197381662156,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,2.302585092994046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0501585006713867,-0.3871145248413086,-1.3654322624206543,-1.60090176264445
"the picker swims, the pickers swims",wiki,simple_agrmt,picker,pickers,swims,swims,-1,0,4.430816798843313,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,1.0986122886681098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.481182098388672,4.25459098815918,5.146540641784668,4.29410457611084
"the pickers swim, the picker swim",wiki,simple_agrmt,pickers,picker,swim,swim,1,0,4.430816798843313,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.332204510175204,0.0,0.0,2.302585092994046,0.0,0.0,0.0,0.0,-0.6231813430786133,1.7880210876464844,-0.17034053802490234,0.33149973551432294
"the picker enjoys, the pickers enjoys",wiki,simple_agrmt,picker,pickers,enjoys,enjoys,-1,0,7.3537223303996315,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.091042453358316,0.0,0.0,2.5649493574615367,0.0,0.0,0.0,0.0,0.29468822479248047,-1.3406867980957031,-1.6742396354675293,-0.9067460695902506
"the pickers enjoy, the picker enjoy",wiki,simple_agrmt,pickers,picker,enjoy,enjoy,1,0,7.3537223303996315,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,4.2626798770413155,0.0,0.0,3.1780538303479458,0.0,0.0,0.0,0.0,2.58943510055542,4.02152156829834,5.146126747131348,3.919027805328369
"the picker draws, the pickers draws",wiki,simple_agrmt,picker,pickers,draws,draws,-1,0,8.985570498917388,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.8918202981106265,0.0,0.0,3.1780538303479458,0.0,0.0,0.0,0.0,3.669973373413086,4.011017799377441,5.837485313415527,4.506158828735352
"the pickers draw, the picker draw",wiki,simple_agrmt,pickers,picker,draw,draw,1,0,8.985570498917388,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.093750200806762,0.0,0.0,2.995732273553991,0.0,0.0,0.0,0.0,0.19334983825683594,-0.5780487060546875,-0.12141799926757812,-0.16870562235514322
"the picker rests, the pickers rests",wiki,simple_agrmt,picker,pickers,rests,rests,-1,0,9.587406005562649,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,3.4011973816621555,0.0,0.0,2.6390573296152584,0.0,0.0,0.0,0.0,5.209790229797363,4.248126029968262,4.66497802734375,4.707631429036458
"the pickers rest, the picker rest",wiki,simple_agrmt,pickers,picker,rest,rest,1,0,9.587406005562649,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,6.186208623900494,0.0,0.0,2.1972245773362196,0.0,0.0,0.0,0.0,0.4182453155517578,-1.599863052368164,-0.2850160598754883,-0.48887793223063153
"the picker runs, the pickers runs",wiki,simple_agrmt,picker,pickers,runs,runs,-1,0,12.187114061928877,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.648974238161206,0.0,0.0,4.465908118654584,0.0,0.0,0.0,0.0,1.6242666244506836,3.310521125793457,2.565903663635254,2.5002304712931314
"the pickers run, the picker run",wiki,simple_agrmt,pickers,picker,run,run,1,0,12.187114061928877,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,6.53813982376767,0.0,0.0,4.812184355372417,0.0,0.0,0.0,0.0,3.0663084983825684,0.7913951873779297,0.4106254577636719,1.4227763811747234
"the picker plays, the pickers plays",wiki,simple_agrmt,picker,pickers,plays,plays,-1,0,12.530725305346046,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,5.68697535633982,0.0,0.0,4.5217885770490405,0.0,0.0,0.0,0.0,2.5839452743530273,0.3312702178955078,1.2133665084838867,1.3761940002441406
"the pickers play, the picker play",wiki,simple_agrmt,pickers,picker,play,play,1,0,12.530725305346046,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,6.843749949006225,0.0,0.0,4.912654885736052,0.0,0.0,0.0,0.0,2.0442543029785156,3.4484500885009766,2.1955766677856445,2.562760353088379
"the picker works, the pickers works",wiki,simple_agrmt,picker,pickers,works,works,-1,0,14.801847366510039,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,6.9975959829819265,0.0,0.0,4.812184355372417,0.0,0.0,0.0,0.0,4.181946277618408,2.9433422088623047,4.114529132843018,3.74660587310791
"the pickers work, the picker work",wiki,simple_agrmt,pickers,picker,work,work,1,0,14.801847366510039,0.8109302162163288,0.4054651081081644,0.4054651081081644,0.0,7.804251383528112,0.0,0.0,5.017279836814924,0.0,0.0,0.0,0.0,-0.45357418060302734,2.4713191986083984,0.2487506866455078,0.7554985682169596
"the harvester grinds, the harvesters grinds",wiki,simple_agrmt,harvester,harvesters,grinds,grinds,-1,0,1.5040773967762742,1.0986122886681096,0.6931471805599453,0.4054651081081644,0.2876820724517809,0.4054651081081644,0.0,0.0,0.4054651081081644,0.0,0.0,0.0,0.0,0.6264381408691406,2.0904440879821777,2.7868332862854004,1.8345718383789062
